earnings,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011
Jan,7101,6196,6788,7998,8977,7820,6151,6150,5857,6679,6643,6016
Feb,11452,9720,10850,11861,13256,10671,8966,8483,9100,9818,8744,8672
Mar,12939,12920,14255,14166,12789,11904,10763,12312,12653,10311,11388,10893
Apr,20221,16572,15105,18066,19086,17140,17876,14219,14250,15623,17034,19844
May,24617,23413,24385,28994,27518,23985,21965,21621,25760,25939,26833,24086
Jun,29356,30891,31634,28092,28376,27053,26410,30192,24050,23428,25746,28337
Jul,37740,31248,31097,32860,39738,36398,34501,32594,28608,29174,34151,35726
Aug,39194,38580,43957,46086,40138,37231,37128,36595,43074,38971,36562,36350
Sep,39761,35503,30617,32923,33295,31648,34544,32103,28427,28900,30761,31604
Oct,19476,17915,18806,20432,22947,19212,16697,16353,18076,19500,21472,20673
Nov,12652,12356,14283,14685,12566,11259,10891,10967,12887,11122,11309,13300
Dec,13452,13913,13819,13946,14383,13484,13562,13778,13052,12978,13165,13632
