date,010000Food & Non-alcoholic beverages,010106APPLES DESSERT PER KG,010106BANANAS PER KG,010101BREAKFAST CEREAL 1,010101BREAKFAST CEREAL 2,010104CHEDDAR HOME PRODUCED PER KG,010202COLA FLAVOURED DRINK 2 LTR BTL,010101DRY SPAGHETTI OR PASTA 500G,010107FRESH VEG ONIONS PER KG,010107FRESH VEG TOMATOES PER KG,010202FRESH_CHILLED ORANGE JUICE 1L,010202FRUIT JUICE NOT ORANGE 1L,010106GRAPES PER KG,010101PLAIN BISCUITS 200-300G,010107POTATOES NEW PER KG,010107POTATOES OLD WHITE PER KG,010104SHOP MILK WHOLE MILK 4PT_2LTR,010104SHOP MILK SEMI SKIMMED,010105SPREADABLE BUTTER 40-70% BUTTER,010106STRAWBERRIES PER KG OR PUNNET,010201TEA BAGS 1 PACKET OF 80 (250G),010101WHITE SLICED LOAF BRANDED 800G,010101WHOLEMEAL SLICED LOAF BRANDED,010104YOGHURT SMALL INDIVIDUAL,"010104YOGHURT_FROMAGE 4-6PK, 50-125G",020000Alcoholic beverages,020102APPLE CIDER 500-750ML 4.5-5.5%,020103BITTER 4 CANS 440-500ML,020101BRANDY 68-70 CL BOTTLE,020103LAGER 4 BOTTLES PREMIUM,020102RED WINE EUROPEAN 75CL,020101RUM WHITE BOTTLE,020101VODKA 70 CL BOTTLE,020101WHISKY 70 CL BOTTLE,020102WHITE WINE EUROPEAN 75CL
Jun-14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Jul-14,99.91,101.27,109.23,100.95,99.94,99.73,101.09,100.09,100.88,100.23,98.51,99.43,96.96,101.06,93.21,96.87,99.45,99.33,98.23,96.38,102.06,99.65,99.42,100.16,102.41,100.21,100.42,100.25,101.95,99.13,99.17,99.40,99.67,103.65,99.63
Aug-14,99.42,100.76,109.23,99.86,98.51,99.05,98.70,105.01,99.73,101.25,98.50,99.79,95.11,100.82,91.38,98.80,99.33,99.14,99.06,94.85,99.87,98.87,99.88,102.39,98.44,100.53,100.33,99.91,101.59,100.17,100.02,100.86,98.91,103.31,100.45
Sep-14,99.07,99.41,109.23,101.79,98.19,98.46,98.48,104.70,99.55,101.24,97.68,97.42,93.77,101.23,89.24,98.67,97.75,97.58,99.38,105.88,98.96,97.68,98.61,101.02,90.60,99.62,99.89,100.18,100.99,100.44,98.39,100.90,98.19,100.66,99.05
Oct-14,99.04,99.36,99.41,102.29,99.12,95.24,97.09,98.27,98.70,99.77,95.95,95.32,96.33,101.09,90.05,97.12,97.86,97.99,98.70,126.31,101.09,98.01,92.67,100.21,94.08,99.87,99.44,99.62,101.61,98.95,99.68,101.28,99.80,101.25,99.88
Nov-14,101.18,100.14,98.84,104.67,101.32,95.54,95.73,100.95,100.68,97.80,96.23,98.05,100.62,101.23,94.12,93.88,97.95,98.17,98.04,165.25,100.32,96.77,97.05,100.43,100.79,98.51,99.57,97.96,100.11,97.46,99.08,97.81,95.80,99.72,99.15
Dec-14,99.79,100.14,98.84,103.00,99.64,95.27,94.47,95.74,101.25,95.63,96.79,96.92,107.24,101.42,68.81,92.55,97.69,94.70,97.66,163.60,94.99,95.73,98.44,100.79,100.63,97.04,98.06,97.75,97.83,96.51,97.09,96.82,94.87,96.24,98.36
Jan-15,98.10,100.15,98.84,103.10,98.03,95.92,92.59,87.75,101.36,97.33,96.06,97.52,99.60,102.31,68.81,92.29,97.71,94.63,97.27,137.93,100.24,87.83,94.33,101.12,91.91,98.51,97.45,96.50,101.50,95.25,98.68,101.82,99.95,102.63,99.36
Feb-15,98.48,101.00,94.94,101.60,99.83,94.06,92.59,89.46,99.75,103.36,96.42,97.21,95.57,102.19,68.81,94.15,97.52,93.89,96.61,125.03,99.86,86.71,93.45,100.16,114.06,98.80,99.73,98.03,101.85,96.20,97.65,101.37,99.70,103.05,98.22
Mar-15,98.12,100.90,94.27,100.85,99.65,95.58,90.91,90.11,98.88,103.35,93.73,97.25,95.49,102.36,68.81,93.61,96.92,93.89,96.45,121.09,98.80,88.47,93.16,100.99,115.52,98.10,98.72,93.58,101.98,94.86,97.80,100.20,99.50,102.71,98.45
Apr-15,99.04,102.61,94.27,102.89,100.35,94.72,102.66,90.05,99.13,102.42,95.80,97.04,97.26,101.76,68.81,93.45,96.97,94.02,94.25,116.33,101.32,90.94,89.83,101.11,117.98,96.76,97.06,91.13,101.11,94.22,96.32,99.20,97.48,102.46,96.60
May-15,98.78,104.43,94.27,102.22,99.01,94.44,100.84,90.25,99.49,101.43,95.49,95.58,99.48,101.84,70.52,93.62,96.57,94.02,96.87,110.11,98.27,90.89,89.23,101.13,122.16,97.99,100.23,95.92,102.20,95.72,96.97,100.17,98.93,101.69,96.43
Jun-15,98.02,104.34,94.27,102.39,98.30,94.47,92.13,89.50,98.63,101.52,96.05,95.31,100.30,101.80,70.52,94.09,96.87,93.78,95.82,104.73,98.88,87.81,88.47,100.29,124.42,97.12,97.85,95.90,101.90,95.35,96.65,99.85,99.14,99.28,95.64
Jul-15,97.99,104.09,94.27,100.79,94.91,94.06,101.41,88.28,99.85,103.07,96.64,95.24,95.13,102.14,70.51,94.52,96.00,93.84,96.09,92.78,97.90,87.68,86.98,100.37,128.93,97.45,99.82,95.40,101.97,94.99,95.33,99.04,99.13,102.32,95.84
Aug-15,97.39,104.96,94.27,98.89,94.59,94.03,104.13,91.80,99.30,101.89,93.39,93.12,94.37,102.49,66.04,93.05,95.83,93.30,95.23,97.79,97.33,87.63,86.50,99.84,126.23,97.05,98.00,97.06,101.11,94.46,95.63,98.46,98.78,102.61,95.27
Sep-15,96.83,104.70,94.27,97.21,91.62,91.91,99.45,87.63,99.51,103.47,92.06,94.68,91.55,94.94,70.23,93.69,96.07,93.76,96.72,107.34,97.06,88.14,85.43,99.18,124.96,95.65,98.49,94.60,101.71,94.16,92.77,98.60,98.33,100.54,91.85
Oct-15,98.24,99.00,92.80,97.68,93.49,91.95,118.22,85.72,100.17,103.92,92.11,92.75,94.63,95.77,68.81,96.75,96.26,94.80,96.45,112.01,95.87,87.38,85.13,98.74,123.05,95.33,98.05,96.24,101.35,93.72,91.87,100.13,97.93,100.77,91.11
Nov-15,98.20,99.23,94.27,98.50,93.73,88.74,111.44,84.21,97.97,103.46,94.34,84.34,97.07,94.51,70.23,94.22,96.03,95.64,93.59,140.96,96.11,85.29,83.67,100.00,126.23,93.67,98.18,93.53,99.74,91.64,90.62,96.65,94.43,96.53,91.18
