date,010000Food And Non-Alcoholic Beverages,010106Apples Dessert Per Kg,010106Bananas Per Kg,010101Breakfast Cereal 1,010101Breakfast Cereal 2,010104Cheddar Home Produced Per Kg,010202Cola Flavoured Drink 2 Ltr Btl,010101Dry Spaghetti Or Pasta 500G,010107Fresh Veg Onions Per Kg,010107Fresh Veg Tomatoes Per Kg,010202Fresh_Chilled Orange Juice 1L,010202Fruit Juice Not Orange 1L,010106Grapes Per Kg,010101Plain Biscuits 200-300G,010107Potatoes New Per Kg,010107Potatoes Old White Per Kg,010104Shop Milk Whole Milk 4Pt_2Ltr,010104Shop Milk Semi Skimmed,010105Spreadable Butter 40-70% Butter,010106Strawberries Per Kg Or Punnet,010201Tea Bags 1 Packet Of 80 (250G),010101White Sliced Loaf Branded 800G,010101Wholemeal Sliced Loaf Branded,010104Yoghurt Small Individual,"010104Yoghurt_Fromage 4-6Pk, 50-125G",020000Alcoholic Beverages,020102Apple Cider 500-750Ml 4.5-5.5%,020103Bitter 4 Cans 440-500Ml,020101Brandy 68-70 Cl Bottle,020103Lager 4 Bottles Premium,020102Red Wine European 75Cl,020101Rum White Bottle,020101Vodka 70 Cl Bottle,020101Whisky 70 Cl Bottle,020102White Wine European 75Cl
Jun-14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jul-14,99.783,100.957,108.868,100.465,98.952,98.589,100.866,97.56,100.832,100.361,98.617,99.461,97.159,100.798,97.057,96.982,99.527,99.436,98.394,95.74,101.53,99.756,99.723,99.605,101.912,100.592,100.818,100.288,101.69,99.828,99.885,100.083,100.017,103.666,99.919
Aug-14,99.284,100.704,108.868,100.148,98.266,97.737,100.202,99.796,100.261,101.415,98.692,99.936,94.72,100.68,92.45,97.199,99.302,99.214,99.211,92.977,100.593,98.881,99.939,101.047,98.039,100.483,99.695,99.922,101.832,99.832,99.681,100.813,99.165,104.115,100.427
Sep-14,99.056,98.424,108.868,101.571,98.102,97.565,100.024,101.429,104.06,101.868,97.854,97.397,92.527,101.068,91.669,97.296,97.847,98.067,99.313,97.569,99.905,97.435,98.77,99.672,94.073,99.429,99.593,100.359,101.257,99.889,97.883,100.768,98.446,101.369,98.431
Oct-14,98.93,94.898,101.372,101.078,98.802,93.227,98.624,101.296,110.586,101.135,96.189,95.657,94.57,100.975,92.826,95.568,97.98,98.449,98.733,107.637,101.275,97.747,94.219,99.742,96.675,99.724,99.18,99.874,101.753,99.084,98.839,100.97,99.684,102.014,99.338
Nov-14,99.451,92.789,101.005,102.76,100.463,94.228,97.156,98.152,113.254,98.521,96.508,98.262,99.996,101.092,94.813,91.48,98.554,98.501,97.184,114.363,100.46,98.169,96.532,100.325,100.018,98.17,98.147,98.781,99.973,98.178,97.703,98.276,96.174,99.475,98.339
Dec-14,99.928,94.1,101.005,102.131,98.959,93.634,95.989,93.373,115.19,97.157,97.393,100.222,107.732,100.596,92.567,91.254,98.218,97.174,96.927,128.128,95.801,100.24,98.719,100.45,100.135,96.351,96.032,98.454,97.565,97.653,95.279,96.749,94.522,95.516,96.899
Jan-15,98.344,93.36,101.005,102.447,97.774,93.996,93.094,89.913,114.974,91.629,95.854,100.394,100.663,101.647,92.567,91.453,98.177,97.11,96.138,138.521,99.71,90.999,94.473,100.156,77.861,98.255,94.585,97.793,100.944,97.296,97.37,101.269,99.718,102.072,98.204
Feb-15,97.904,93.578,95.688,100.419,99.648,92.016,90.573,91.713,113.046,97.405,95.635,99.933,96.359,101.454,92.567,93.664,97.982,96.291,95.751,123.952,99.777,85.547,93.673,99.264,96.214,98.4,96.609,99.831,101.879,97.743,96.391,101.052,99.583,102.567,96.97
Mar-15,97.309,93.452,94.83,99.655,99.345,92.05,88.7,92.264,111.584,97.303,92.826,100.111,95.988,101.633,92.567,93.671,97.399,96.291,95.189,120.519,98.225,87.02,93.419,99.984,94.673,97.969,95.102,95.27,102.24,97.04,96.576,99.752,99.474,102.212,97.675
Apr-15,97.616,95.045,94.83,101.247,100.207,91.214,93.376,92.438,111.553,96.061,94.066,99.956,97.684,100.908,92.567,93.878,97.417,96.429,92.984,113.549,100.691,92.132,91.23,100.007,95.045,96.758,93.5,93.736,101.674,96.813,94.935,98.661,96.929,101.812,96.041
May-15,97.574,96.646,94.83,100.993,98.197,90.823,101.654,92.552,111.46,95.313,93.58,98.923,100.021,100.839,89.962,93.82,96.385,96.429,94.952,110.583,97.78,93.243,90.609,97.171,94.751,97.608,97.126,98.381,102.713,97.528,95.277,99.832,98.498,100.98,95.423
Jun-15,97.504,96.839,94.83,100.512,98.044,91.2,101.375,91.41,111.4,95.848,94.723,99.232,101.018,100.298,88.177,93.94,96.733,96.429,94.014,108.488,98.46,92.361,90.437,96.577,94.659,96.781,96.185,98.567,101.826,96.929,94.438,99.677,99.358,98.75,94.102
