date,010000Food & Non-Alcoholic Beverages,010106Apples Dessert Per Kg,010106Bananas Per Kg,010101Breakfast Cereal 1,010101Breakfast Cereal 2,010104Cheddar Home Produced Per Kg,010202Cola Flavoured Drink 2 Ltr Btl,010101Dry Spaghetti Or Pasta 500G,010107Fresh Veg Onions Per Kg,010107Fresh Veg Tomatoes Per Kg,010202Fresh_Chilled Orange Juice 1L,010202Fruit Juice Not Orange 1L,010106Grapes Per Kg,010101Plain Biscuits 200-300G,010107Potatoes New Per Kg,010107Potatoes Old White Per Kg,010104Shop Milk Whole Milk 4Pt_2Ltr,010104Shop Milk Semi Skimmed,010105Spreadable Butter 40-70% Butter,010106Strawberries Per Kg Or Punnet,010201Tea Bags 1 Packet Of 80 (250G),010101White Sliced Loaf Branded 800G,010101Wholemeal Sliced Loaf Branded,010104Yoghurt Small Individual,"010104Yoghurt_Fromage 4-6Pk, 50-125G",020000Alcoholic Beverages,020102Apple Cider 500-750Ml 4.5-5.5%,020103Bitter 4 Cans 440-500Ml,020101Brandy 68-70 Cl Bottle,020103Lager 4 Bottles Premium,020102Red Wine European 75Cl,020101Rum White Bottle,020101Vodka 70 Cl Bottle,020101Whisky 70 Cl Bottle,020102White Wine European 75Cl
02/06/2014,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
09/06/2014,100.48,100.04,100,99.5,100.26,98.69,101.44,99.17,100.83,100.28,101.88,100.76,100,99.82,100,100.58,99.72,99.69,100.05,101.96,100.65,100.07,100.33,99.91,105.73,99.84,100.12,100.18,99.67,100.06,99.76,100.42,99.74,99.41,99.5
16/06/2014,99.66,100.13,100,98.25,100.21,98.46,101.19,100.35,99.78,99.82,102.13,100.91,97.97,99.94,93.29,96.66,99.64,99.63,100.04,98.91,100.5,99.7,100.34,99.91,106.79,99.68,100.81,99.97,99.9,99.92,99.23,99.58,98.98,101.46,98.41
23/06/2014,99.27,95.92,105.13,96.91,98.82,97.83,100.29,100.29,99.41,99.7,100.27,101,96.15,100.7,90.36,94.93,99.36,99.64,99.59,98.04,100.19,99.79,100.6,98.41,107.77,99.67,101.16,99.69,99.54,99.41,99.18,99.66,99.02,101.67,98.18
30/06/2014,99.95,95.23,110.51,96.52,98.4,96.62,99.93,100.3,101.53,100.62,100.27,101.01,97.15,100.93,90.36,98.72,99.15,99.64,99.2,98.51,100.32,99.98,100.67,97.09,107.68,99.57,101.36,99.57,99.68,99.38,98.68,99.79,99.19,101.84,97.48
07/07/2014,99.66,100.13,110.51,98.74,100.07,96.92,99.9,100.4,101.49,100.27,98.79,100.1,95.17,101.22,90.36,96.74,97.19,98.18,98.62,98.22,101.75,99.48,100.22,96.85,107.68,99.55,101.69,99.99,101.47,99.38,98.11,98.73,99.24,103.97,97.98
14/07/2014,99.78,99.35,110.51,99.57,100.29,99.45,100.5,100.56,99.43,99.94,99.95,99.96,94.83,101.34,93.02,95.11,98.12,98.38,97.93,98.54,101.8,99.28,99.8,99.76,108.39,99.82,100.69,100.16,101.9,98.16,98.16,98.5,99.08,104.62,98.41
21/07/2014,99.38,99.15,110.51,98.57,98.85,99.07,101.72,100.9,100.65,100.04,98.95,98.45,94.97,101.22,75.98,94.78,100.07,99.39,96.78,98.35,100.95,99.7,99.65,101.07,108.79,101.6,99.96,100.66,102.22,98.4,101.7,101.8,99.18,105.51,101.65
28/07/2014,99.51,99.1,110.51,98.2,99.18,99.02,101.22,100.61,100.63,101.06,98.75,98.03,94.48,100.92,79.37,95.84,100.14,99.45,96.92,98.35,100.41,99.61,100.06,101.06,109.11,101.39,100.94,101.17,101.82,99.67,101.48,101.72,98.67,105.19,101.44
04/08/2014,99.65,99.06,110.51,97.85,97.58,97.72,99.38,98.19,100.61,101.43,97.73,97.82,94.05,100.86,100,96.3,100.15,99.8,99.14,98.63,99.9,99.45,99.97,101.06,108.37,100.7,100.82,101.12,101.62,99.77,100.2,101.18,98.2,104.77,100.13
