AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15
Hartlepool,E06000001,1220.8,1317.6,1258.9,1245.7,1300.8,1219.5,1211.8,1100.5,1058.6,988.7,1005.2,945.1,945.8,948.3,1013.4
Middlesbrough,E06000002,1209.3,1300.3,1196.1,1247.3,1135.0,1089.3,1177.4,1173.4,1137.8,1072.9,1051.4,1144.8,1056.3,1124.2,1155.4
Redcar and Cleveland,E06000003,1149.3,1183.7,1113.2,991.2,1065.2,1078.9,982.2,1057.1,935.8,904.9,963.6,921.6,931.5,888.9,963.2
Stockton-on-Tees,E06000004,1210.2,1137.9,1130.4,1119.9,1107.9,1093.6,1059.8,1058.6,989.8,880.2,952.5,882.0,905.5,925.9,983.0
Darlington,E06000005,1180.8,1105.8,1128.6,1134.9,1069.0,1054.1,1046.9,1040.9,989.4,901.0,843.4,930.2,949.1,877.9,1002.3
Halton,E06000006,1279.4,1327.1,1320.2,1252.0,1210.7,1240.0,1190.4,1237.0,1077.5,1017.4,1012.7,1111.4,1123.0,1028.3,1121.8
Warrington,E06000007,1162.1,1079.4,1214.2,991.7,1003.4,1120.1,1086.9,1057.4,953.2,966.6,918.5,941.0,1016.1,944.8,950.3
Blackburn with Darwen,E06000008,1246.7,1261.8,1322.0,1177.7,1165.4,1108.4,1210.0,1120.5,1122.8,1062.6,985.1,1046.3,985.8,1015.5,1093.0
Blackpool,E06000009,1205.2,1230.3,1273.1,1174.0,1145.6,1172.9,1134.2,1162.6,1013.9,1075.3,1042.4,1057.3,1036.7,1061.8,1145.7
"Kingston upon Hull, City of",E06000010,1096.1,1191.5,1236.0,1164.4,1164.6,1175.0,1187.0,1066.7,1074.0,1062.6,1028.4,1062.7,1060.0,1086.0,1147.6
East Riding of Yorkshire,E06000011,997.3,982.8,1047.0,1009.6,959.9,904.0,966.0,899.2,870.9,873.9,854.4,892.0,876.6,804.7,863.5
North East Lincolnshire,E06000012,1003.8,1051.0,1079.4,1016.8,977.1,1026.8,1027.0,1015.3,973.1,908.2,920.8,972.4,933.3,850.7,899.0
