AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15
Hartlepool,E06000001,1487.1,1506.5,1476.4,1473.2,1484.8,1371.6,1371.9,1305.8,1246.4,1171.5,1135.8,1089.5,1093.8,1115.4,1219.5
Middlesbrough,E06000002,1416.8,1445.9,1401.7,1440.0,1346.6,1306.9,1329.8,1310.0,1302.9,1245.6,1229.1,1259.0,1192.0,1309.4,1296.4
Redcar and Cleveland,E06000003,1313.2,1368.4,1322.3,1223.6,1221.6,1213.1,1163.1,1212.9,1060.3,1034.0,1070.1,1045.2,1068.3,1015.8,1101.6
Stockton-on-Tees,E06000004,1412.4,1308.9,1331.4,1279.5,1269.9,1244.0,1240.2,1222.5,1143.6,1059.6,1063.9,1029.9,1036.8,1057.8,1107.7
Darlington,E06000005,1409.2,1321.5,1314.0,1328.7,1222.2,1238.6,1169.4,1178.8,1162.1,1040.2,995.7,1072.5,1058.2,1048.0,1132.0
Halton,E06000006,1510.1,1512.1,1477.3,1422.9,1362.1,1404.4,1351.9,1408.1,1252.2,1189.2,1161.0,1227.9,1232.6,1176.7,1195.3
Warrington,E06000007,1354.4,1315.4,1368.2,1218.5,1207.2,1294.5,1272.5,1207.4,1063.3,1132.2,1061.4,1086.1,1142.0,1074.0,1098.0
Blackburn with Darwen,E06000008,1396.7,1514.2,1454.0,1367.8,1356.4,1307.1,1391.9,1289.8,1308.3,1213.4,1152.6,1178.1,1166.1,1191.2,1202.2
Blackpool,E06000009,1486.1,1465.6,1484.8,1373.6,1395.0,1361.7,1337.9,1367.6,1277.0,1322.4,1262.0,1259.9,1260.2,1238.2,1380.9
"Kingston upon Hull, City of",E06000010,1361.6,1400.9,1462.3,1350.9,1360.6,1364.5,1351.8,1281.2,1280.9,1190.6,1214.2,1210.7,1219.2,1248.8,1282.7
East Riding of Yorkshire,E06000011,1165.0,1163.5,1214.5,1150.6,1109.4,1055.8,1048.6,1055.7,1004.4,1006.2,979.7,997.7,980.8,926.8,998.1
North East Lincolnshire,E06000012,1261.5,1292.8,1301.8,1233.1,1180.9,1183.9,1222.8,1221.3,1128.7,1086.1,1042.1,1118.2,1102.2,1002.5,1060.5
North Lincolnshire,E06000013,1273.6,1231.4,1293.3,1181.2,1168.3,1156.6,1135.1,1147.0,1119.2,982.7,1048.1,1040.9,1054.2,986.9,1045.3
York,E06000014,1178.1,1152.3,1154.7,1083.0,1040.2,1027.9,980.9,1014.6,968.5,973.1,983.3,962.6,954.1,915.3,927.6
Derby,E06000015,1240.5,1304.9,1250.7,1153.1,1151.0,1155.6,1145.7,1172.7,1078.7,1044.2,955.1,1010.6,1065.3,991.8,1030.7
Leicester,E06000016,1385.6,1349.5,1421.3,1311.3,1319.4,1286.2,1216.6,1268.5,1196.9,1185.9,1088.6,1078.0,1157.5,1108.5,1174.2
Rutland,E06000017,982.2,956.5,1027.0,920.0,895.9,813.1,897.8,935.8,852.8,849.5,867.3,866.8,742.1,753.1,858.5
Nottingham,E06000018,1442.5,1365.2,1428.8,1308.7,1296.6,1229.4,1275.7,1269.6,1196.8,1168.8,1123.0,1126.3,1114.1,1107.2,1189.8
"Herefordshire, County of",E06000019,1107.0,1115.4,1110.9,1068.7,1108.8,1008.4,1054.0,1042.2,971.8,940.7,938.4,917.0,882.6,873.7,950.5
Telford and Wrekin,E06000020,1316.0,1313.4,1262.9,1255.2,1205.3,1151.4,1139.4,1097.6,1138.1,1124.7,1073.3,1094.4,1084.5,982.7,1120.7
Stoke-on-Trent,E06000021,1373.1,1453.8,1479.4,1371.4,1302.6,1281.7,1353.8,1347.4,1253.2,1192.4,1138.1,1198.9,1195.3,1133.4,1215.9
Bath and North East Somerset,E06000022,1034.0,1083.7,1040.1,1047.7,1035.1,952.2,965.0,964.2,938.6,965.7,881.4,857.3,908.4,826.8,896.7
"Bristol, City of",E06000023,1254.9,1252.6,1301.9,1168.7,1161.4,1147.0,1126.7,1146.3,1087.9,1063.4,1019.0,993.6,1083.5,975.0,993.2
North Somerset,E06000024,1145.9,1133.1,1123.6,1048.2,1054.6,1010.7,988.8,1013.9,928.1,960.9,954.6,910.6,931.2,881.7,953.6
South Gloucestershire,E06000025,1066.5,1071.4,1150.4,975.0,1009.4,967.2,994.9,965.7,903.1,908.6,886.5,864.4,871.3,805.8,867.9
Plymouth,E06000026,1242.0,1257.6,1287.8,1204.2,1158.0,1116.6,1112.4,1086.4,1105.8,1076.5,1005.5,1081.8,1035.0,968.0,1022.8
Torbay,E06000027,1169.7,1133.7,1199.1,1085.1,1104.7,1003.6,1086.9,1038.0,1032.9,1014.3,978.5,971.4,997.9,978.2,1012.6
Bournemouth,E06000028,1177.4,1157.9,1176.2,1064.6,1058.0,1018.3,1016.7,1047.9,1000.4,1032.1,980.7,1007.9,995.0,952.3,1007.9
Poole,E06000029,1018.9,1110.5,1095.9,1049.1,1011.1,981.5,946.7,1046.0,925.9,917.8,888.7,910.4,914.0,887.7,979.4
Swindon,E06000030,1272.0,1296.5,1235.0,1162.1,1206.9,1171.3,1127.8,1076.5,1014.1,1016.9,1034.7,1003.3,1020.5,954.5,996.5
Peterborough,E06000031,1327.1,1357.4,1347.0,1134.3,1262.5,1204.1,1170.5,1148.2,1069.2,1075.2,1028.7,1050.9,1013.9,1015.9,1006.0
Luton,E06000032,1375.7,1365.5,1387.0,1294.1,1259.8,1238.8,1220.0,1209.6,1138.2,1047.9,1026.8,1106.0,984.6,1033.5,998.8
Southend-on-Sea,E06000033,1301.0,1240.8,1254.9,1157.4,1156.7,1146.7,1094.0,1105.8,1081.4,1082.2,978.1,925.1,1023.7,953.8,1046.9
Thurrock,E06000034,1210.8,1303.3,1294.7,1162.4,1138.2,1111.5,1145.0,1139.2,1076.5,1060.1,1049.7,1033.5,1043.9,1012.0,1056.4
Medway,E06000035,1327.4,1319.7,1319.6,1227.7,1225.3,1257.0,1144.2,1175.0,1085.7,1110.7,1048.3,1080.0,1020.9,1064.8,1103.1
Bracknell Forest,E06000036,1212.1,1145.7,1179.1,1065.3,1102.4,999.1,967.5,965.2,942.7,891.3,887.1,916.4,842.3,797.1,866.0
West Berkshire,E06000037,1139.1,1120.3,1144.1,1005.1,996.0,996.3,975.2,957.1,923.1,877.5,888.9,871.3,919.4,842.5,859.3
Reading,E06000038,1184.9,1216.2,1180.1,1152.2,1116.9,1061.7,1062.5,1087.4,1048.0,1026.5,985.3,1076.9,1055.6,943.7,992.3
Slough,E06000039,1347.4,1248.3,1170.3,1249.8,1078.0,1055.4,1095.0,1057.4,1038.8,1004.0,1037.6,998.1,1048.4,965.3,1025.1
Windsor and Maidenhead,E06000040,1211.2,1143.4,1131.9,1127.8,1030.2,1046.2,974.5,1010.8,983.3,881.1,862.5,889.1,876.6,832.2,832.0
Wokingham,E06000041,1111.3,1099.2,1035.1,983.5,963.4,969.6,877.3,909.4,856.9,881.2,832.2,876.5,859.2,830.5,843.6
Milton Keynes,E06000042,1278.3,1260.5,1315.1,1268.8,1200.8,1094.4,1102.3,1134.2,1062.1,1077.9,1018.1,1053.6,997.5,1002.0,1029.4
Brighton and Hove,E06000043,1227.6,1164.0,1265.2,1100.3,1132.1,1122.2,1102.3,1041.5,1037.5,984.3,975.6,1007.7,965.0,907.8,973.7
Portsmouth,E06000044,1265.9,1270.2,1299.8,1217.8,1129.8,1161.6,1114.7,1104.2,1047.1,1034.2,1091.3,1022.8,1085.8,1074.3,1071.5
Southampton,E06000045,1143.5,1240.8,1253.1,1140.5,1164.6,1120.4,1057.6,1152.9,981.7,987.0,1000.5,1053.7,1059.9,988.4,1012.0
Isle of Wight,E06000046,1114.6,1189.1,1143.9,1030.9,1014.1,1010.2,990.3,1024.4,959.7,976.0,902.2,967.7,955.2,917.0,933.4
County Durham,E06000047,1366.0,1360.8,1393.7,1292.7,1322.9,1249.2,1207.2,1244.4,1186.5,1118.0,1109.7,1117.7,1141.1,1081.8,1107.5
Cheshire East,E06000049,1239.1,1198.6,1178.6,1145.0,1072.2,1071.1,1050.0,1045.3,1002.1,971.1,902.1,949.4,923.2,870.6,924.4
Cheshire West and Chester,E06000050,1207.0,1211.5,1191.5,1152.6,1131.7,1098.3,1088.4,1118.5,1006.3,1007.4,988.3,1021.1,964.7,951.6,973.7
Shropshire,E06000051,1171.8,1212.9,1197.8,1101.3,1067.5,1013.9,1008.1,1028.6,994.0,983.8,910.6,925.8,957.2,857.6,945.5
Cornwall,E06000052,1129.2,1134.2,1141.4,1068.6,1068.2,1010.2,1062.4,1027.2,1017.1,965.1,940.0,954.9,969.7,923.7,960.9
Isles of Scilly,E06000053,1129.2,1134.2,1141.4,1068.6,1068.2,1010.2,1062.4,1027.2,1017.1,965.1,940.0,954.9,969.7,923.7,960.9
Wiltshire,E06000054,1133.9,1143.3,1097.2,1048.0,1024.5,987.3,982.5,991.0,949.0,925.2,898.6,898.9,897.1,859.5,925.1
Bedford,E06000055,1167.7,1191.1,1173.7,1127.4,1117.6,1071.7,1077.7,1057.5,1025.9,1029.3,938.5,924.5,924.9,885.7,973.5
Central Bedfordshire,E06000056,1220.5,1183.1,1182.2,1143.0,1147.5,1052.0,1055.7,1056.1,1030.9,961.1,887.5,928.7,908.9,850.5,896.3
Northumberland,E06000057,1287.2,1263.9,1280.6,1248.3,1184.2,1122.7,1139.3,1112.1,1034.3,1042.9,1004.0,1035.4,1017.2,984.2,1016.1
Aylesbury Vale,E07000004,1188.1,1191.1,1146.7,1108.7,1163.6,1059.9,1005.3,1000.5,995.1,962.6,916.6,914.9,909.6,889.8,925.1
Chiltern,E07000005,1081.1,1103.3,981.6,963.7,936.9,973.3,827.5,836.7,841.7,833.0,766.8,736.2,766.2,729.3,770.0
South Bucks,E07000006,1119.4,1157.0,1058.5,1034.1,1052.6,943.1,846.9,908.5,900.0,866.8,796.0,869.8,797.2,809.7,844.4
Wycombe,E07000007,1108.0,1059.2,1074.2,997.6,975.2,901.0,910.2,886.0,858.3,873.1,852.0,860.6,789.0,812.6,828.4
Cambridge,E07000008,1112.9,1123.5,1167.7,1082.5,1046.6,1090.1,999.9,1033.2,956.3,900.4,826.5,966.2,945.6,868.4,938.2
East Cambridgeshire,E07000009,1026.0,1086.4,1131.5,1039.6,961.6,930.9,992.3,937.5,894.4,830.3,885.5,747.9,790.5,839.5,853.3
Fenland,E07000010,1342.2,1217.1,1314.2,1124.9,1214.4,1174.1,1103.4,1120.1,1063.8,1022.7,991.4,977.3,986.0,996.3,1014.1
Huntingdonshire,E07000011,1132.6,1133.0,1159.0,1051.4,1033.4,1068.3,1032.4,969.5,913.7,921.9,826.1,897.6,893.7,795.4,891.9
South Cambridgeshire,E07000012,1029.5,1019.3,979.7,996.5,938.2,909.8,857.0,848.0,878.5,814.1,728.4,771.3,796.3,790.8,817.5
Allerdale,E07000026,1321.3,1328.3,1311.5,1187.9,1210.3,1202.6,1177.9,1124.2,1086.0,1088.6,1117.2,1064.7,992.8,1023.9,1019.1
Barrow-in-Furness,E07000027,1333.4,1377.2,1256.4,1301.4,1196.7,1204.9,1244.7,1189.5,1051.6,1126.0,1147.1,1020.9,1151.2,1111.3,1138.9
Carlisle,E07000028,1338.7,1268.3,1293.9,1218.3,1212.6,1124.0,1148.6,1161.0,1131.8,1068.5,1007.1,1071.9,992.5,950.8,1010.2
Copeland,E07000029,1273.8,1361.0,1346.5,1321.1,1279.7,1201.2,1241.4,1205.7,1099.5,1100.5,1152.6,1088.6,1162.8,1047.0,1088.7
Eden,E07000030,1067.0,1157.5,1136.5,1138.1,1091.5,979.6,1049.4,1006.2,899.2,999.3,889.8,875.8,848.7,761.7,865.6
South Lakeland,E07000031,1131.3,1142.7,999.9,1086.7,966.4,982.6,987.6,970.3,962.7,934.0,915.4,875.9,887.8,845.0,844.5
Amber Valley,E07000032,1212.7,1232.8,1309.0,1158.7,1113.4,1119.8,1043.1,1117.0,1082.2,1033.4,1002.6,948.8,1009.1,975.7,1075.1
Bolsover,E07000033,1332.3,1398.5,1456.0,1321.3,1351.4,1247.1,1259.5,1314.8,1173.1,1126.1,1102.2,1173.2,1127.0,1186.4,1241.3
Chesterfield,E07000034,1343.5,1350.8,1405.6,1178.5,1287.7,1246.0,1123.0,1169.9,1107.9,1113.9,1092.9,1051.3,1078.0,1032.4,1099.9
Derbyshire Dales,E07000035,1232.4,1114.7,1185.6,1080.4,1016.4,1072.5,1003.5,953.8,901.3,899.6,907.9,874.0,894.8,874.8,985.7
Erewash,E07000036,1287.6,1299.7,1212.1,1202.3,1135.4,1175.4,1106.2,1070.9,984.0,995.5,924.2,949.6,1015.6,978.6,995.3
High Peak,E07000037,1181.8,1241.4,1158.4,1154.8,1187.2,1091.8,1047.7,1074.8,1091.0,926.0,993.4,1007.7,986.9,935.0,991.7
North East Derbyshire,E07000038,1279.5,1303.1,1257.0,1206.9,1207.5,1135.8,1175.1,1152.2,1001.8,978.2,1012.6,988.5,931.6,955.8,1034.6
South Derbyshire,E07000039,1313.7,1267.9,1290.8,1254.5,1190.2,1092.7,1117.1,1168.4,1071.4,991.8,999.2,1042.2,1048.4,1010.8,1163.6
East Devon,E07000040,1058.9,1066.6,993.4,969.1,1000.9,955.5,909.1,898.7,918.5,835.9,819.3,893.4,857.7,827.8,853.4
Exeter,E07000041,1131.5,1169.5,1111.9,1109.5,1074.3,987.3,1001.7,1029.1,943.3,922.7,910.2,941.6,915.2,927.8,946.5
Mid Devon,E07000042,1073.5,1037.3,1043.1,1002.9,1000.9,930.7,939.6,956.1,891.4,892.5,876.7,829.6,768.3,792.9,897.5
North Devon,E07000043,1180.3,1087.8,1196.5,1105.3,1035.6,1066.5,989.7,1038.6,980.3,927.8,950.0,957.5,932.5,945.5,985.1
South Hams,E07000044,998.1,1068.6,1020.9,965.6,981.9,944.1,969.5,921.2,902.6,885.8,831.3,876.6,833.7,794.8,876.1
Teignbridge,E07000045,1074.1,1027.0,1060.3,1016.4,957.9,931.2,932.3,966.5,948.0,948.9,895.6,946.0,891.0,870.8,872.7
Torridge,E07000046,1187.5,1183.4,1197.8,1081.9,1031.0,941.5,1037.7,1022.4,939.7,900.1,991.8,948.7,932.7,979.9,993.9
West Devon,E07000047,1168.8,1050.4,1050.4,971.6,939.8,968.6,931.3,974.9,919.5,886.5,896.7,943.3,893.4,825.2,879.9
Christchurch,E07000048,1000.5,1004.1,1046.0,897.6,896.5,879.2,906.7,868.4,794.8,867.1,784.3,731.4,804.2,793.3,838.4
East Dorset,E07000049,963.1,934.7,961.6,853.1,904.7,832.6,839.8,858.5,790.0,755.3,743.4,761.7,763.9,712.8,788.3
North Dorset,E07000050,1008.7,1035.0,983.6,924.3,987.6,906.2,870.6,862.7,807.1,836.8,794.5,836.6,808.8,766.7,830.3
Purbeck,E07000051,974.3,1044.1,962.1,987.5,892.3,939.3,958.7,875.9,875.3,819.3,818.0,762.0,908.0,784.6,871.8
West Dorset,E07000052,1061.9,1076.4,1081.5,970.5,996.2,938.1,918.6,936.0,910.6,871.9,829.9,867.5,857.6,797.0,884.6
Weymouth and Portland,E07000053,1177.9,1241.9,1157.6,1047.8,1058.9,1032.0,1044.5,1101.0,992.9,1013.2,958.0,980.6,983.0,993.4,942.2
Eastbourne,E07000061,1152.0,1122.2,1081.0,1075.3,1087.1,1013.9,984.0,972.2,952.1,1031.6,908.0,948.2,955.8,893.4,911.6
