AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15
Hartlepool,E06000001,1918.0,1719.4,1809.4,1810.6,1746.4,1550.1,1594.4,1547.7,1534.3,1406.7,1332.1,1280.0,1294.0,1361.0,1518.5
Middlesbrough,E06000002,1674.0,1602.6,1673.4,1670.3,1664.5,1617.0,1547.1,1472.3,1505.0,1500.7,1447.2,1399.1,1397.4,1547.3,1494.0
Redcar and Cleveland,E06000003,1565.5,1642.5,1626.4,1594.8,1412.0,1420.9,1402.9,1463.9,1240.2,1165.6,1204.2,1200.5,1243.2,1176.5,1281.8
Stockton-on-Tees,E06000004,1694.4,1520.1,1619.0,1479.4,1478.1,1444.0,1472.1,1420.1,1370.3,1295.4,1213.3,1219.0,1202.9,1213.9,1261.0
Darlington,E06000005,1807.2,1659.4,1604.7,1630.7,1414.2,1527.1,1322.7,1349.6,1388.9,1229.1,1230.5,1223.6,1180.0,1288.2,1291.8
Halton,E06000006,1849.1,1736.4,1672.6,1640.9,1570.1,1659.5,1531.2,1659.5,1490.1,1407.4,1432.6,1343.2,1364.8,1346.2,1280.5
Warrington,E06000007,1648.2,1640.9,1564.3,1563.2,1474.5,1534.6,1550.0,1411.8,1212.1,1358.3,1251.4,1255.3,1311.6,1245.0,1278.5
Blackburn with Darwen,E06000008,1619.8,1906.8,1628.5,1650.8,1654.1,1566.2,1666.8,1525.2,1566.7,1419.8,1353.5,1338.0,1405.2,1387.6,1341.5
Blackpool,E06000009,1896.6,1772.2,1791.7,1711.4,1719.5,1631.9,1608.4,1641.1,1628.6,1659.2,1538.8,1513.9,1546.7,1458.8,1686.4
"Kingston upon Hull, City of",E06000010,1783.0,1685.0,1775.4,1608.8,1610.4,1617.6,1564.3,1552.8,1537.0,1343.4,1454.1,1396.9,1420.2,1447.7,1445.8
East Riding of Yorkshire,E06000011,1426.0,1450.8,1452.0,1334.1,1321.3,1263.6,1143.7,1278.1,1200.0,1185.8,1149.5,1128.2,1111.6,1095.1,1175.8
North East Lincolnshire,E06000012,1614.9,1690.1,1618.2,1565.0,1475.5,1403.5,1518.7,1496.8,1348.6,1354.4,1170.6,1310.4,1340.6,1198.1,1255.6
North Lincolnshire,E06000013,1569.1,1561.9,1618.8,1396.6,1432.6,1384.1,1266.2,1368.3,1342.1,1183.4,1228.8,1336.0,1314.5,1167.0,1249.1
York,E06000014,1527.2,1410.6,1496.0,1354.6,1357.5,1268.8,1126.8,1166.8,1165.6,1113.6,1229.4,1181.5,1145.8,1036.2,1090.0
Derby,E06000015,1514.3,1576.7,1477.6,1362.9,1417.4,1389.8,1358.5,1391.1,1266.9,1263.3,1126.9,1210.8,1255.2,1245.5,1263.4
Leicester,E06000016,1719.6,1635.1,1737.9,1520.5,1580.0,1520.1,1451.2,1514.1,1422.1,1433.0,1309.6,1294.1,1426.2,1350.8,1450.8
Rutland,E06000017,1186.5,1191.3,1338.8,966.6,1103.1,944.8,1234.1,1048.8,990.4,913.5,1020.8,1039.2,942.2,898.8,961.0
Nottingham,E06000018,1793.5,1691.6,1788.6,1573.7,1608.8,1539.1,1615.2,1479.4,1484.6,1428.3,1382.4,1342.2,1404.7,1319.3,1464.5
"Herefordshire, County of",E06000019,1362.8,1387.6,1413.2,1246.8,1366.5,1308.7,1225.6,1230.8,1175.4,1157.1,1138.2,1125.3,1017.7,1009.4,1120.0
Telford and Wrekin,E06000020,1586.7,1503.3,1448.9,1452.3,1466.7,1340.7,1450.2,1304.2,1424.8,1331.7,1269.8,1244.3,1270.6,1179.9,1284.0
Stoke-on-Trent,E06000021,1672.7,1801.6,1862.1,1710.0,1585.0,1543.3,1720.2,1594.6,1504.0,1397.4,1307.3,1462.5,1443.0,1408.4,1456.9
Bath and North East Somerset,E06000022,1329.5,1329.9,1230.6,1213.3,1212.7,1130.2,1157.3,1128.3,1111.3,1135.9,1087.3,970.1,1058.2,985.8,1023.8
"Bristol, City of",E06000023,1566.3,1538.8,1634.7,1408.8,1412.6,1396.3,1372.8,1463.7,1329.5,1286.4,1239.0,1217.3,1321.2,1154.0,1217.3
North Somerset,E06000024,1392.2,1324.3,1394.5,1264.2,1269.2,1204.9,1179.3,1190.3,1127.3,1167.3,1101.9,1066.2,1047.6,1075.1,1053.7
South Gloucestershire,E06000025,1234.7,1248.6,1322.9,1183.6,1236.0,1201.0,1184.8,1100.3,1078.8,1052.2,1040.7,989.7,1029.5,951.9,992.5
Plymouth,E06000026,1584.6,1530.3,1578.8,1528.2,1446.2,1376.5,1332.2,1287.7,1364.6,1268.0,1205.4,1267.3,1194.5,1132.2,1195.4
Torbay,E06000027,1410.4,1437.0,1427.3,1358.7,1386.3,1239.0,1259.0,1248.6,1217.7,1171.8,1086.4,1114.5,1199.9,1192.6,1191.2
Bournemouth,E06000028,1466.1,1474.3,1471.6,1290.8,1249.7,1214.1,1202.2,1186.9,1213.5,1272.2,1178.1,1159.2,1166.7,1147.6,1118.3
Poole,E06000029,1264.2,1316.3,1324.5,1266.8,1265.6,1164.6,1131.1,1293.1,1105.4,1069.7,1038.1,1048.7,1111.6,1033.2,1097.9
Swindon,E06000030,1615.6,1519.7,1427.5,1365.9,1448.0,1406.7,1286.6,1339.7,1213.1,1211.8,1200.9,1160.6,1215.1,1087.9,1127.8
Peterborough,E06000031,1566.0,1714.3,1661.9,1421.4,1462.7,1467.8,1405.0,1416.5,1308.4,1273.6,1297.9,1210.7,1186.4,1173.5,1172.3
Luton,E06000032,1575.9,1610.3,1738.5,1511.2,1478.2,1461.0,1384.5,1422.5,1368.7,1216.1,1164.7,1319.1,1143.3,1180.1,1114.0
Southend-on-Sea,E06000033,1531.7,1495.0,1571.7,1351.7,1372.4,1391.9,1341.1,1285.7,1296.7,1321.0,1128.0,1075.1,1198.6,1114.4,1281.1
Thurrock,E06000034,1444.0,1629.0,1677.8,1358.6,1357.8,1317.2,1329.4,1406.1,1326.1,1168.7,1241.7,1239.1,1244.7,1167.8,1254.6
Medway,E06000035,1633.0,1623.4,1632.4,1481.3,1486.9,1477.5,1415.3,1426.3,1294.0,1310.3,1242.6,1277.5,1215.9,1190.8,1282.6
Bracknell Forest,E06000036,1449.1,1315.1,1374.1,1258.7,1369.6,1168.3,1201.2,1172.3,1139.7,1111.9,953.4,1074.2,1050.8,966.0,983.4
West Berkshire,E06000037,1389.8,1360.5,1445.8,1171.4,1203.3,1180.8,1181.0,1139.2,1092.5,1065.7,1097.3,1052.7,1024.5,977.9,994.3
Reading,E06000038,1495.6,1525.6,1479.4,1457.9,1320.8,1253.7,1272.8,1291.6,1297.0,1235.8,1146.6,1287.8,1298.1,1084.7,1177.5
Slough,E06000039,1667.8,1433.0,1293.9,1444.0,1178.0,1268.6,1343.6,1191.3,1182.0,1194.4,1284.6,1182.8,1242.9,1188.0,1231.4
Windsor and Maidenhead,E06000040,1472.0,1404.5,1387.0,1421.5,1248.2,1305.1,1147.5,1236.4,1207.2,1036.1,1013.3,1041.7,1069.3,1007.4,964.0
Wokingham,E06000041,1447.2,1255.1,1284.3,1165.5,1129.7,1109.7,972.9,1062.0,1018.4,993.6,926.9,1004.6,1028.7,968.5,1045.2
Milton Keynes,E06000042,1515.2,1584.8,1499.1,1526.6,1373.2,1277.6,1300.3,1338.3,1297.4,1272.5,1234.3,1215.8,1160.2,1188.7,1237.1
Brighton and Hove,E06000043,1580.9,1462.9,1542.8,1364.7,1366.2,1411.7,1345.8,1329.3,1216.8,1207.5,1141.1,1233.2,1140.4,1088.6,1142.6
Portsmouth,E06000044,1493.9,1560.2,1538.7,1462.4,1352.4,1436.5,1365.0,1311.1,1266.3,1275.5,1326.8,1195.7,1278.7,1290.2,1287.9
Southampton,E06000045,1405.4,1549.5,1512.4,1400.8,1389.2,1398.3,1251.1,1377.2,1187.3,1172.6,1176.5,1249.5,1350.7,1268.4,1141.7
Isle of Wight,E06000046,1383.2,1452.3,1360.1,1271.0,1238.3,1239.1,1159.6,1229.3,1183.8,1187.2,1050.8,1131.4,1121.6,1118.9,1122.4
County Durham,E06000047,1699.1,1671.0,1689.0,1560.2,1545.8,1516.3,1399.8,1478.9,1393.9,1309.4,1255.1,1305.8,1256.0,1229.8,1239.5
