date,debt,deficit
1993,235,51
1994,278,46
1995,314,39
1996,342,30
1997,364,15
1998,361,-1
1999,360,-11
2000,328,-16
2001,329,-7
2002,358,20
2003,394,33
2004,452,40
2005,496,46
2006,532,36
2007,570,41
2008,736,76
2009,931,154
2010,1129,144
2011,1232,117
2012,1340,128
2013,1445,103
2014,1548,101
2015,1606,82
