earnings,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979
Jan,20996,20678,21909,18877,17391,16885,18434,17119,15075,14830
Feb,22318,20259,22117,22328,21436,21183,22863,20203,19460,19396
Mar,38221,30542,36555,41886,38824,43836,32717,31001,36439,35120
Apr,30219,34534,38071,32051,30019,25622,27869,34425,29359,29043
May,34698,34053,30500,27926,26970,30438,27295,23954,26499,28312
Jun,38832,38510,37619,39304,38320,32360,30438,33759,33706,39201
Jul,40741,46640,47160,38642,36189,36558,40697,40402,43436,36985
Aug,50984,41736,43094,41164,47395,47313,37880,37683,40048,40335
Sep,48940,48155,55730,51390,43363,43385,42016,39384,46991,47661
Oct,40950,40728,35931,33444,32987,33230,34261,32899,29165,30450
Nov,22903,23280,25793,23572,26148,25705,20674,21080,22595,22806
Dec,25685,25622,31762,29851,25347,24105,23423,25045,25485,24714
