date,Oliver ,Jack ,Harry ,George ,Jacob ,Charlie ,Noah ,William ,Thomas ,Oscar ,James ,Joshua ,Joseph ,Samuel ,Daniel 
0,5,1,9,14,15,13,16,8,3,17,4,2,10,7,6
5,1,2,3,4,5,6,7,8,9,10,13,14,15,16,17
