age,males,females
0,0,0
1,0,0
2,0,0
3,0,0
4,0,1
5,1,0
6,0,0
7,0,0
8,0,1
9,0,0
10,0,0
11,0,0
12,0,0
13,0,1
14,0,1
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,2,0
21,1,1
22,1,1
23,0,0
24,1,2
25,3,2
26,0,1
27,1,0
28,3,3
29,4,1
30,2,3
31,2,6
32,6,4
33,7,4
34,7,2
35,6,2
36,9,5
37,7,3
38,7,2
39,5,3
40,12,1
41,10,1
42,6,4
43,18,6
44,12,3
45,9,0
46,11,6
47,16,5
48,12,7
49,9,7
50,9,5
51,15,10
52,10,4
53,17,6
54,13,6
55,7,11
56,12,7
57,11,4
58,17,9
59,13,16
60,11,5
61,24,13
62,18,10
63,19,17
64,21,19
65,30,31
66,47,36
67,50,42
68,72,57
69,67,50
70,61,79
71,116,95
72,128,116
73,149,153
74,187,172
75,256,220
76,285,313
77,345,351
78,409,455
79,444,501
80,537,647
81,629,808
82,675,934
83,800,1127
84,918,1343
85,970,1443
86,990,1610
87,971,1811
88,989,1938
89,938,2091
90,923,2159
91,849,2020
92,734,2058
93,683,1929
94,644,1915
95,412,1637
96,218,992
97,164,723
98,120,619
99,73,439
100,108,774
