date,Amelia ,Olivia ,Emily ,Isla ,Ava ,Ella ,Jessica ,Isabella ,Mia ,Poppy ,Sophie ,Grace ,Chloe ,Charlotte ,Lucy ,Ellie 
0,13,4,2,18,17,10,1,15,14,16,3,7,6,9,8,5
5,1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18
