date,British
01/03/1992,983598
01/04/1992,999228
01/05/1992,1012274
01/06/1992,1035075
01/07/1992,1109235
01/08/1992,1076992
01/09/1992,1044244
01/10/1992,1015647
01/11/1992,1021847
01/12/1992,1013268
01/01/1993,1007396
01/02/1993,1001106
01/03/1993,980216
01/04/1993,1000299
01/05/1993,1027576
01/06/1993,1070384
01/07/1993,1089863
01/08/1993,1107346
01/09/1993,1103540
01/10/1993,1103087
01/11/1993,1099638
01/12/1993,1099801
01/01/1994,1113210
01/02/1994,1119843
01/03/1994,1144141
01/04/1994,1151855
01/05/1994,1121747
01/06/1994,1082308
01/07/1994,1103026
01/08/1994,1108890
01/09/1994,1134048
01/10/1994,1133835
01/11/1994,1145553
01/12/1994,1153115
01/01/1995,1151992
01/02/1995,1161963
01/03/1995,1171003
01/04/1995,1193148
01/05/1995,1160363
01/06/1995,1108302
01/07/1995,1111121
01/08/1995,1097792
01/09/1995,1114461
01/10/1995,1129017
01/11/1995,1131699
01/12/1995,1136821
01/01/1996,1146607
01/02/1996,1138981
01/03/1996,1140484
01/04/1996,1137028
01/05/1996,1150386
01/06/1996,1136557
01/07/1996,1132682
01/08/1996,1115903
01/09/1996,1106266
01/10/1996,1123849
01/11/1996,1133998
01/12/1996,1147214
01/01/1997,1136629
01/02/1997,1142893
01/03/1997,1134552
01/04/1997,1155711
01/05/1997,1157385
01/06/1997,1190653
01/07/1997,1210427
01/08/1997,1212668
01/09/1997,1207125
01/10/1997,1203107
01/11/1997,1198627
01/12/1997,1194664
01/01/1998,1208129
01/02/1998,1212283
01/03/1998,1203812
01/04/1998,1218369
01/05/1998,1219328
01/06/1998,1228502
01/07/1998,1264804
01/08/1998,1285169
01/09/1998,1267405
01/10/1998,1276062
01/11/1998,1284272
01/12/1998,1268233
01/01/1999,1269271
01/02/1999,1272130
01/03/1999,1277800
01/04/1999,1271778
01/05/1999,1247932
01/06/1999,1262155
01/07/1999,1255876
01/08/1999,1248461
01/09/1999,1240089
01/10/1999,1222100
01/11/1999,1218522
01/12/1999,1225752
01/01/2000,1229819
01/02/2000,1234244
01/03/2000,1247514
01/04/2000,1273677
01/05/2000,1287784
01/06/2000,1271175
01/07/2000,1269539
01/08/2000,1274872
01/09/2000,1274871
01/10/2000,1283392
01/11/2000,1290991
01/12/2000,1295686
01/01/2001,1293402
01/02/2001,1278806
01/03/2001,1296574
01/04/2001,1294273
01/05/2001,1302582
01/06/2001,1296923
01/07/2001,1311369
01/08/2001,1297133
01/09/2001,1272960
01/10/2001,1290906
01/11/2001,1278479
01/12/2001,1287394
01/01/2002,1275409
01/02/2002,1284251
01/03/2002,1274185
01/04/2002,1276765
01/05/2002,1300231
01/06/2002,1299266
01/07/2002,1314324
01/08/2002,1320021
01/09/2002,1348224
01/10/2002,1360269
01/11/2002,1371271
01/12/2002,1367126
01/01/2003,1383460
01/02/2003,1393875
01/03/2003,1401858
01/04/2003,1409132
01/05/2003,1401721
01/06/2003,1395105
01/07/2003,1405249
01/08/2003,1418117
01/09/2003,1413223
01/10/2003,1404386
01/11/2003,1401125
01/12/2003,1412296
01/01/2004,1416643
01/02/2004,1421450
01/03/2004,1420859
01/04/2004,1423832
01/05/2004,1424497
01/06/2004,1434332
01/07/2004,1417608
01/08/2004,1419813
01/09/2004,1422649
01/10/2004,1432560
01/11/2004,1458630
01/12/2004,1447015
01/01/2005,1464413
01/02/2005,1471018
01/03/2005,1468388
01/04/2005,1462502
01/05/2005,1450392
01/06/2005,1474805
01/07/2005,1488832
01/08/2005,1486284
01/09/2005,1482889
01/10/2005,1478321
