date,United States,China,Japan,Germany,France,Great Britain & N. Ireland,Brazil,Russian Federation,Italy,Australia,Spain,South Korea,Netherlands,Iran,Poland,South Africa,Denmark,Kazakhstan,Czech Republic,New Zealand,Ukraine,Romania,Hungary,Cuba,Belarus,Croatia,Kenya,Ethiopia,North Korea,Jamaica
0,1,2,3,4,5,6,7,8,9,12,13,14,17,22,25,29,34,48,50,53,54,56,59,68,71,74,79,84,115,118
5,1,2,11,6,7,3,22,4,8,10,21,5,13,17,30,23,29,12,19,15,14,27,9,16,26,25,28,24,20,18
