date,IPS,LTIM
Dec-77,29,null
Dec-78,38,null
Dec-79,38,null
Dec-80,31,null
Dec-81,26,null
Dec-82,27,null
Dec-83,31,null
Dec-84,39,null
Dec-85,34,null
Dec-86,46,null
Dec-87,25,null
Dec-88,34,null
Dec-89,37,null
Dec-90,49,null
Dec-91,52,56
Dec-92,null,42
Dec-93,null,50
Dec-94,null,51
Dec-95,null,63
Dec-96,null,63
Dec-97,null,87
Dec-98,null,77
Dec-99,null,83
Dec-00,null,89
Dec-01,null,87
Dec-02,null,122
Dec-03,null,137
Dec-04,null,148
Dec-05,null,140
Dec-06,null,157
Dec-07,null,148
Dec-08,null,175
Dec-09,null,211
Mar-10,null,235
Jun-10,null,235
Sep-10,null,245
Dec-10,null,238
Mar-11,null,232
Jun-11,null,239
Sep-11,null,246
Dec-11,null,232
Mar-12,null,213
Jun-12,null,197
Sep-12,null,187
Dec-12,null,180
Mar-13,null,176
Jun-13,null,175
Sep-13,null,175
Dec-13,null,177
Mar-14,null,176
Jun-14,null,175
Sep-14,null,190
Dec-14,null,191
Mar-15,null,192
Jun-15,null,192
Sep-15,null,175
Dec-15,null,168
Mar-16,null,164
