date, United States,China,Japan,Germany,Great Britain,France,Italy,Brazil,Canada,South Korea,Australia,Russia,Spain,Netherlands,Switzerland,Poland,Belgium,Thailand,Iran*,Colombia,Greece,Kazakhstan,New Zealand,Hungary,Cuba*,Uzbekistan,Kenya,Croatia,North Korea*,Jamaica
0,1,2,3,4,5,6,8,9,10,11,12,13,14,17,19,23,24,25,35,36,43,47,50,54,66,78,68,77,96,112
5,1,3,8,6,2,7,5,16,19,10,9,4,13,11,22,22,24,24,29,20,29,15,14,12,21,27,18,26,17,28
