date,010000Food & Non-Alcoholic Beverages,010106Apples Dessert Per Kg,010106Bananas Per Kg,010101Breakfast Cereal 1,010101Breakfast Cereal 2,010104Cheddar Home Produced Per Kg,010202Cola Flavoured Drink 2 Ltr Btl,010101Dry Spaghetti Or Pasta 500G,010107Fresh Veg Onions Per Kg,010107Fresh Veg Tomatoes Per Kg,010202Fresh_Chilled Orange Juice 1L,010202Fruit Juice Not Orange 1L,010106Grapes Per Kg,010101Plain Biscuits 200-300G,010107Potatoes New Per Kg,010107Potatoes Old White Per Kg,010104Shop Milk Whole Milk 4Pt_2Ltr,010104Shop Milk Semi Skimmed,010105Spreadable Butter 40-70% Butter,010106Strawberries Per Kg Or Punnet,010201Tea Bags 1 Packet Of 80 (250G),010101White Sliced Loaf Branded 800G,010101Wholemeal Sliced Loaf Branded,010104Yoghurt Small Individual,"010104Yoghurt_Fromage 4-6Pk, 50-125G",020000Alcoholic Beverages,020102Apple Cider 500-750Ml 4.5-5.5%,020103Bitter 4 Cans 440-500Ml,020101Brandy 68-70 Cl Bottle,020103Lager 4 Bottles Premium,020102Red Wine European 75Cl,020101Rum White Bottle,020101Vodka 70 Cl Bottle,020101Whisky 70 Cl Bottle,020102White Wine European 75Cl
Jun-14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jul-14,99.91,101.27,109.23,100.95,99.94,99.73,101.09,100.09,100.88,100.23,98.51,99.43,96.96,101.06,93.21,96.87,99.45,99.33,98.23,96.38,102.06,99.65,99.42,100.16,102.41,100.21,100.42,100.25,101.95,99.13,99.17,99.4,99.67,103.65,99.63
Aug-14,99.42,100.76,109.23,99.86,98.51,99.05,98.7,105.01,99.73,101.25,98.5,99.79,95.11,100.82,91.38,98.8,99.33,99.14,99.06,94.85,99.87,98.87,99.88,102.39,98.44,100.53,100.33,99.91,101.59,100.17,100.02,100.86,98.91,103.31,100.45
Sep-14,99.07,99.41,109.23,101.79,98.19,98.46,98.48,104.7,99.55,101.24,97.68,97.42,93.77,101.23,89.24,98.67,97.75,97.58,99.38,105.88,98.96,97.68,98.61,101.02,90.6,99.62,99.89,100.18,100.99,100.44,98.39,100.9,98.19,100.66,99.05
Oct-14,99.04,99.36,99.41,102.29,99.12,95.24,97.09,98.27,98.7,99.77,95.95,95.32,96.33,101.09,90.05,97.12,97.86,97.99,98.7,126.31,101.09,98.01,92.67,100.21,94.08,99.87,99.44,99.62,101.61,98.95,99.68,101.28,99.8,101.25,99.88
Nov-14,101.18,100.14,98.84,104.67,101.32,95.54,95.73,100.95,100.68,97.8,96.23,98.05,100.62,101.23,94.12,93.88,97.95,98.17,98.04,165.25,100.32,96.77,97.05,100.43,100.79,98.51,99.57,97.96,100.11,97.46,99.08,97.81,95.8,99.72,99.15
Dec-14,99.79,100.14,98.84,103,99.64,95.27,94.47,95.74,101.25,95.63,96.79,96.92,107.24,101.42,68.81,92.55,97.69,94.7,97.66,163.6,94.99,95.73,98.44,100.79,100.63,97.04,98.06,97.75,97.83,96.51,97.09,96.82,94.87,96.24,98.36
Jan-15,98.1,100.15,98.84,103.1,98.03,95.92,92.59,87.75,101.36,97.33,96.06,97.52,99.6,102.31,68.81,92.29,97.71,94.63,97.27,137.93,100.24,87.83,94.33,101.12,91.91,98.51,97.45,96.5,101.5,95.25,98.68,101.82,99.95,102.63,99.36
Feb-15,98.48,101,94.94,101.6,99.83,94.06,92.59,89.46,99.75,103.36,96.42,97.21,95.57,102.19,68.81,94.15,97.52,93.89,96.61,125.03,99.86,86.71,93.45,100.16,114.06,98.8,99.73,98.03,101.85,96.2,97.65,101.37,99.7,103.05,98.22
Mar-15,98.12,100.9,94.27,100.85,99.65,95.58,90.91,90.11,98.88,103.35,93.73,97.25,95.49,102.36,68.81,93.61,96.92,93.89,96.45,121.09,98.8,88.47,93.16,100.99,115.52,98.1,98.72,93.58,101.98,94.86,97.8,100.2,99.5,102.71,98.45
