date,010000Food & Non-alcoholic beverages,010106APPLES DESSERT PER KG,010106BANANAS PER KG,010101BREAKFAST CEREAL 1,010101BREAKFAST CEREAL 2,010104CHEDDAR HOME PRODUCED PER KG,010202COLA FLAVOURED DRINK 2 LTR BTL,010101DRY SPAGHETTI OR PASTA 500G,010107FRESH VEG ONIONS PER KG,010107FRESH VEG TOMATOES PER KG,010202FRESH_CHILLED ORANGE JUICE 1L,010202FRUIT JUICE NOT ORANGE 1L,010106GRAPES PER KG,010101PLAIN BISCUITS 200-300G,010107POTATOES NEW PER KG,010107POTATOES OLD WHITE PER KG,010104SHOP MILK WHOLE MILK 4PT_2LTR,010104SHOP MILK SEMI SKIMMED,010105SPREADABLE BUTTER 40-70% BUTTER,010106STRAWBERRIES PER KG OR PUNNET,010201TEA BAGS 1 PACKET OF 80 (250G),010101WHITE SLICED LOAF BRANDED 800G,010101WHOLEMEAL SLICED LOAF BRANDED,010104YOGHURT SMALL INDIVIDUAL,"010104YOGHURT_FROMAGE 4-6PK, 50-125G",020000Alcoholic beverages,020102APPLE CIDER 500-750ML 4.5-5.5%,020103BITTER 4 CANS 440-500ML,020101BRANDY 68-70 CL BOTTLE,020103LAGER 4 BOTTLES PREMIUM,020102RED WINE EUROPEAN 75CL,020101RUM WHITE BOTTLE,020101VODKA 70 CL BOTTLE,020101WHISKY 70 CL BOTTLE,020102WHITE WINE EUROPEAN 75CL
02/06/2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
09/06/2014,99.47,96.60,100.00,99.00,100.05,99.51,99.91,101.52,99.40,99.61,100.37,100.19,97.57,99.94,100.00,96.89,99.92,99.93,100.03,97.92,100.05,99.59,100.04,100.00,101.59,99.82,100.31,99.87,99.93,99.55,99.41,99.35,99.39,101.82,98.99
16/06/2014,99.03,95.38,103.63,97.43,98.90,99.19,98.80,100.03,98.80,99.41,98.96,100.48,95.76,100.51,100.00,94.94,99.80,99.93,99.52,96.86,99.55,99.65,100.25,99.22,101.91,99.75,100.43,99.55,99.70,99.27,99.19,99.25,99.41,102.26,98.82
23/06/2014,99.61,99.05,110.51,97.35,98.35,97.88,98.48,100.90,100.52,100.17,98.79,100.64,96.60,100.76,100.00,97.76,99.63,99.93,98.83,96.63,99.61,99.70,100.35,97.64,102.06,99.73,100.30,99.48,99.69,99.27,99.12,99.28,99.40,102.40,98.72
30/06/2014,99.52,99.24,110.51,99.44,99.08,98.18,99.30,101.35,100.77,100.03,97.98,100.11,95.35,101.02,100.00,96.28,98.69,99.13,98.76,95.10,100.98,99.49,100.21,97.38,102.15,99.77,100.22,99.82,101.58,98.70,98.56,98.62,99.90,104.43,98.04
07/07/2014,99.60,99.08,110.51,100.42,99.45,99.47,100.33,101.77,100.23,99.79,98.65,99.82,94.77,101.19,100.00,94.32,98.84,99.00,98.66,95.68,102.23,99.39,99.83,99.50,102.47,99.94,100.48,100.06,102.26,98.76,98.32,98.16,99.67,105.35,98.29
14/07/2014,99.38,99.11,110.51,99.86,97.94,99.99,100.61,102.04,99.87,99.86,98.09,98.79,94.57,101.05,100.00,93.31,100.12,99.73,97.49,95.61,100.97,99.55,99.53,101.31,102.69,101.30,101.65,100.36,102.37,99.93,100.73,100.51,99.73,105.92,100.87
21/07/2014,99.30,98.74,110.51,99.84,98.05,99.63,99.24,102.65,99.87,100.61,97.66,98.33,93.81,100.83,100.00,94.42,100.20,99.80,97.53,95.14,100.06,99.44,99.61,101.28,102.74,101.56,101.86,100.87,102.10,100.07,101.43,101.30,99.08,105.82,101.75
28/07/2014,99.17,98.76,110.51,99.61,97.32,99.31,97.69,100.70,99.87,101.12,96.98,98.34,92.50,100.70,99.69,95.34,100.27,100.09,98.53,95.98,98.96,99.40,99.59,101.30,102.30,100.85,101.39,100.78,101.92,99.66,100.14,100.60,98.54,105.41,100.42
04/08/2014,99.06,98.78,110.51,98.23,96.91,98.03,97.83,104.09,100.46,100.64,98.03,100.44,92.98,100.82,98.84,96.48,99.39,99.41,98.99,93.87,99.05,98.25,100.00,101.02,101.54,100.87,100.00,99.88,102.09,99.54,100.61,100.52,99.45,105.62,100.77
11/08/2014,99.26,98.79,110.51,98.99,98.83,98.33,98.26,105.32,100.48,100.57,98.83,101.29,92.83,101.10,98.96,96.59,98.78,98.83,98.64,92.11,100.64,97.84,100.10,100.97,101.33,100.16,99.09,99.08,101.90,99.10,99.40,99.66,98.81,105.21,99.92
18/08/2014,98.67,98.80,110.51,98.01,97.90,99.48,96.75,104.60,99.38,100.97,98.83,100.45,92.84,101.19,99.07,96.17,98.55,98.62,98.55,91.83,98.31,98.85,100.08,101.11,92.13,100.10,99.88,99.27,101.68,99.98,98.50,100.02,98.76,104.32,99.33
25/08/2014,98.54,98.98,110.51,98.35,97.23,100.60,96.76,104.13,98.93,101.27,99.30,100.17,93.05,101.29,98.31,95.88,97.76,97.65,97.82,97.28,97.50,98.19,98.91,101.23,87.85,100.10,100.56,99.81,101.21,100.62,98.40,100.31,98.70,103.21,98.92
01/09/2014,98.54,97.80,110.09,100.88,97.65,100.36,98.02,103.94,99.03,101.05,99.39,99.60,89.47,101.34,98.45,95.94,97.34,97.17,97.71,100.56,97.96,97.02,97.94,101.23,87.47,99.19,99.76,99.95,100.45,100.34,97.19,99.68,97.50,101.92,97.62
08/09/2014,98.69,97.36,109.91,100.98,97.81,98.27,97.83,102.85,99.75,100.96,97.33,97.23,88.63,101.34,98.57,95.87,97.76,97.94,99.04,105.30,98.94,96.73,98.20,99.89,92.27,99.01,99.88,100.07,100.84,99.86,97.02,99.86,97.31,101.85,97.28
15/09/2014,98.85,94.47,110.12,100.79,96.99,96.82,97.72,99.38,100.06,100.89,94.96,93.85,92.79,101.43,98.67,96.49,98.09,98.48,99.92,106.62,99.98,97.32,99.25,97.94,99.37,100.07,100.67,100.29,102.18,99.16,99.45,100.95,98.88,102.63,99.52
22/09/2014,98.98,93.53,107.09,101.03,97.43,96.71,97.00,99.27,99.96,100.86,94.52,93.34,93.58,101.43,98.76,96.49,98.04,98.54,99.64,112.50,100.29,98.37,99.80,97.79,99.26,99.94,100.35,99.68,102.74,98.26,99.44,101.18,100.16,101.74,99.96
29/09/2014,98.86,96.91,101.68,98.84,97.06,95.10,96.44,99.53,100.51,100.14,95.59,94.95,93.67,101.44,98.84,96.84,97.86,98.19,98.67,119.38,100.51,98.62,96.92,99.43,97.29,99.91,100.06,99.61,102.29,98.32,99.30,101.22,100.23,102.20,99.73
06/10/2014,99.11,96.90,101.58,98.64,97.68,93.65,96.66,99.55,100.72,99.71,96.07,95.74,94.08,101.45,98.90,96.78,97.49,97.85,97.65,130.12,100.42,98.01,95.35,100.53,94.89,100.24,100.33,99.61,101.70,98.55,99.73,100.71,100.19,103.67,99.95
13/10/2014,99.76,96.87,101.49,99.80,100.09,94.11,96.27,100.47,100.31,99.80,96.13,95.51,94.17,101.21,98.96,95.63,97.81,98.06,97.49,146.10,100.32,97.03,94.68,100.44,92.63,99.82,99.93,99.17,101.36,98.07,99.22,100.14,99.56,103.86,99.33
20/10/2014,99.92,96.72,101.41,101.58,100.69,95.19,94.43,100.22,100.61,99.77,95.99,96.55,94.13,100.90,99.02,93.83,98.46,98.42,97.65,150.55,99.14,96.89,94.39,100.19,93.18,99.16,99.62,98.87,101.52,97.66,98.68,99.59,97.79,102.65,98.87
27/10/2014,100.08,96.73,101.34,102.30,100.62,96.58,94.53,101.63,101.00,98.05,94.44,97.35,94.91,100.92,99.07,92.07,98.55,98.63,97.54,153.05,99.58,96.23,95.50,100.19,98.02,98.62,99.63,98.69,101.08,97.19,98.59,98.34,95.82,101.36,98.92
03/11/2014,100.35,96.59,102.69,103.07,100.63,96.28,94.95,102.05,101.21,97.70,94.41,97.35,95.27,101.28,99.11,91.39,98.54,98.53,97.50,155.57,100.05,95.85,97.55,100.20,99.40,98.22,99.49,97.56,100.44,96.12,98.76,97.84,95.14,101.21,98.91
10/11/2014,100.39,96.38,101.22,101.74,99.99,95.45,94.81,96.44,101.86,97.44,96.66,98.17,97.09,101.61,99.15,93.22,98.38,98.47,97.22,153.00,99.21,97.55,97.95,100.21,99.70,98.11,99.74,97.18,99.51,95.84,98.43,97.10,95.73,101.10,98.75
17/11/2014,100.59,96.12,101.16,101.71,99.86,95.15,94.85,92.74,103.55,96.70,98.16,98.84,106.25,102.35,90.06,92.56,97.49,97.63,96.56,156.05,98.90,97.04,98.28,100.27,99.53,98.37,100.02,97.30,99.24,96.24,98.65,97.49,96.71,100.75,99.00
24/11/2014,100.41,96.76,101.11,101.53,99.03,95.40,94.77,92.84,100.06,96.56,98.17,98.99,108.06,102.35,87.86,92.09,96.96,97.18,96.87,161.00,97.06,96.06,98.39,100.40,99.52,97.56,99.56,97.10,98.09,95.99,97.67,96.80,95.59,98.73,98.39
01/12/2014,99.98,96.83,101.07,100.87,98.50,95.31,92.56,93.66,98.27,95.42,96.73,99.11,108.73,101.64,87.01,91.45,97.76,96.93,97.54,165.23,94.05,95.61,98.38,100.41,99.86,96.62,97.65,97.18,97.94,95.35,96.98,96.32,93.92,97.16,98.09
08/12/2014,99.78,96.87,101.03,101.62,98.79,94.99,91.74,93.34,101.29,96.11,95.53,98.16,105.88,101.97,86.23,91.10,98.34,96.43,97.28,161.08,93.87,96.08,98.77,100.49,100.18,96.54,97.59,97.50,97.75,95.30,96.19,96.76,94.23,97.60,97.72
15/12/2014,99.94,96.91,100.99,103.09,98.81,95.28,93.53,93.27,102.67,96.41,95.52,98.45,104.27,101.87,85.51,91.00,98.44,96.36,97.19,159.75,93.93,96.40,99.11,100.43,100.30,96.19,97.16,96.77,97.39,94.97,96.02,96.64,93.93,96.96,97.52
22/12/2014,99.66,96.84,100.95,103.42,98.57,95.85,95.25,92.69,101.75,94.83,95.94,98.43,105.37,102.36,84.85,91.24,98.18,96.30,97.37,160.50,96.61,96.27,98.69,100.52,86.31,96.98,96.83,96.96,98.24,95.53,97.07,97.42,95.39,98.53,98.29
29/12/2014,98.42,96.72,100.92,103.57,97.15,95.90,95.52,91.19,101.39,92.10,96.09,98.36,102.77,103.00,84.24,92.45,98.00,96.24,96.98,150.27,99.18,95.12,96.83,100.58,72.17,98.18,96.90,96.57,100.54,95.09,98.73,100.03,99.26,102.75,99.05
05/01/2015,97.46,96.75,101.87,102.73,96.56,95.64,92.56,89.68,101.08,91.75,95.39,98.01,98.82,103.09,83.67,91.85,97.65,96.19,96.66,146.06,98.53,89.71,95.65,100.45,71.93,98.30,96.82,95.67,102.06,93.73,98.93,101.64,100.51,105.06,98.95
12/01/2015,96.82,96.62,100.86,101.61,98.44,95.73,90.36,89.82,100.18,92.10,95.33,98.03,95.58,102.38,83.14,90.18,97.86,96.14,96.71,144.00,98.99,80.98,92.88,100.53,77.25,98.30,96.72,95.86,102.23,93.61,98.83,101.58,100.32,105.28,99.22
