date,010000Food & Non-alcoholic beverages,010106APPLES DESSERT PER KG,010106BANANAS PER KG,010101BREAKFAST CEREAL 1,010101BREAKFAST CEREAL 2,010104CHEDDAR HOME PRODUCED PER KG,010202COLA FLAVOURED DRINK 2 LTR BTL,010101DRY SPAGHETTI OR PASTA 500G,010107FRESH VEG ONIONS PER KG,010107FRESH VEG TOMATOES PER KG,010202FRESH_CHILLED ORANGE JUICE 1L,010202FRUIT JUICE NOT ORANGE 1L,010106GRAPES PER KG,010101PLAIN BISCUITS 200-300G,010107POTATOES NEW PER KG,010107POTATOES OLD WHITE PER KG,010104SHOP MILK WHOLE MILK 4PT_2LTR,010104SHOP MILK SEMI SKIMMED,010105SPREADABLE BUTTER 40-70% BUTTER,010106STRAWBERRIES PER KG OR PUNNET,010201TEA BAGS 1 PACKET OF 80 (250G),010101WHITE SLICED LOAF BRANDED 800G,010101WHOLEMEAL SLICED LOAF BRANDED,010104YOGHURT SMALL INDIVIDUAL,"010104YOGHURT_FROMAGE 4-6PK, 50-125G",020000Alcoholic beverages,020102APPLE CIDER 500-750ML 4.5-5.5%,020103BITTER 4 CANS 440-500ML,020101BRANDY 68-70 CL BOTTLE,020103LAGER 4 BOTTLES PREMIUM,020102RED WINE EUROPEAN 75CL,020101RUM WHITE BOTTLE,020101VODKA 70 CL BOTTLE,020101WHISKY 70 CL BOTTLE,020102WHITE WINE EUROPEAN 75CL
02/06/2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
09/06/2014,100.16,100.04,100.00,100.00,99.97,100.83,100.00,99.23,99.01,100.37,101.43,100.00,100.00,100.00,100.00,100.43,100.37,100.00,100.29,98.81,100.00,101.87,100.92,100.03,99.50,100.09,100.12,100.06,100.00,100.06,100.04,100.04,99.91,100.30,100.10
16/06/2014,100.63,100.13,100.00,99.50,100.23,99.51,101.44,98.40,99.83,100.65,103.33,100.76,100.00,99.82,100.00,101.02,100.08,99.69,100.34,100.75,100.65,101.94,101.25,99.94,105.20,99.93,100.79,100.24,99.67,99.95,99.80,100.46,99.64,99.71,99.60
23/06/2014,99.81,95.88,100.00,98.25,100.18,99.28,101.19,99.58,98.80,100.20,103.59,100.91,97.97,99.94,93.29,97.08,100.01,99.63,100.32,97.73,100.50,101.56,101.26,99.94,106.26,99.78,101.28,100.03,99.90,99.43,99.27,99.62,98.89,101.76,98.51
30/06/2014,99.42,95.19,105.13,96.91,98.79,98.64,100.29,99.52,98.42,100.07,101.70,101.00,96.15,100.70,90.36,95.34,99.73,99.64,99.88,96.87,100.19,101.66,101.52,98.44,107.23,99.77,101.56,99.75,99.54,99.42,99.22,99.70,98.93,101.98,98.28
07/07/2014,100.11,100.13,110.51,96.52,98.37,97.42,99.93,99.53,100.53,100.99,101.70,101.01,97.15,100.93,90.36,99.15,99.52,99.64,99.48,97.33,100.32,101.85,101.59,97.12,107.14,99.66,101.75,99.63,99.68,99.52,98.72,99.84,99.10,102.15,97.57
14/07/2014,99.82,99.37,110.51,98.74,100.05,97.73,99.90,99.63,100.48,100.64,100.20,100.10,95.17,101.22,90.36,97.16,97.55,98.18,98.91,97.05,101.75,101.34,101.14,96.88,107.14,99.69,100.98,100.05,101.47,98.31,98.15,98.77,99.15,104.28,98.08
21/07/2014,99.93,99.17,110.51,99.57,100.26,100.27,100.50,99.78,98.45,100.31,101.37,99.96,94.83,101.34,93.02,95.52,98.48,98.38,98.21,97.36,101.80,101.13,100.71,99.80,107.85,99.95,101.22,100.23,101.90,98.64,98.20,98.54,98.99,104.93,98.50
28/07/2014,99.53,99.13,110.51,98.57,98.82,99.90,101.72,100.12,99.65,100.42,100.37,98.45,94.97,101.22,75.98,95.19,100.44,99.39,97.06,97.17,100.95,101.56,100.57,101.10,108.25,101.71,102.57,100.72,102.22,99.97,101.74,101.84,99.09,105.83,101.75
04/08/2014,99.67,99.08,110.51,98.20,99.15,99.85,101.22,99.83,99.63,101.44,100.16,98.03,94.48,100.92,79.37,96.26,100.51,99.45,97.20,97.17,100.41,101.47,100.97,101.09,108.56,101.51,102.14,101.24,101.82,100.00,101.52,101.77,98.58,105.51,101.54
