date,rate,rate2,rate3,rate4,rate5,rate6
2004,1122,295,138,2227,409,39
2005,1246,335,160,2399,391,33
2006,1437,374,190,2519,418,50
2007,1334,291,152,2587,434,58
2008,1314,281,132,2779,420,40
2009,1126,235,103,2554,364,33
2010,996,213,116,2622,388,31
2011,1098,236,98,2539,366,36
2012,1019,225,111,2362,351,37
2013,1048,230,122,2419,384,39
2014,1158,317,165,2446,399,44
