date,British
01/10/2011,33.91338297
01/11/2011,30.94156534
01/12/2011,30.18795151
01/01/2012,29.61923241
01/02/2012,29.6085746
01/03/2012,30.42043071
01/04/2012,31.11787215
01/05/2012,32.18386836
01/06/2012,33.74504796
01/07/2012,36.0933092
01/08/2012,38.48787989
01/09/2012,35.65648755
01/10/2012,33.44344734
01/11/2012,31.08252425
01/12/2012,30.81298614
01/01/2013,29.78075591
01/02/2013,29.87130338
01/03/2013,30.70899629
01/04/2013,30.95270158
01/05/2013,31.14006381
01/06/2013,31.13109327
01/07/2013,32.41764192
01/08/2013,34.04181564
01/09/2013,35.13121662
01/10/2013,33.02786923
01/11/2013,30.39951159
01/12/2013,30.2302132
01/01/2014,30.38279938
01/02/2014,29.91897435
01/03/2014,29.69596775
01/04/2014,31.15358069
01/05/2014,32.12704925
01/06/2014,32.0326908
01/07/2014,33.20927971
01/08/2014,37.47939527
01/09/2014,36.78917546
01/10/2014,33.99937819
01/11/2014,31.35275411
01/12/2014,31.66925274
01/01/2015,31.72114121
01/02/2015,31.26560915
01/03/2015,31.53589223
01/04/2015,31.53198093
01/05/2015,30.84633356
01/06/2015,32.17668448
01/07/2015,34.40393289
01/08/2015,39.52399242
01/09/2015,38.74225749
01/10/2015,36.54861955
01/11/2015,34.20330006
01/12/2015,34.94982541
01/01/2016,35.32232987
01/02/2016,33.67115041
01/03/2016,33.56717578
01/04/2016,34.25357146
01/05/2016,33.88120724
01/06/2016,34.13731164
01/07/2016,35.40296545
