date,E07000223,E07000026,E07000032,E07000224,E07000170,E07000105,E07000004,E07000200,E09000002,E09000003,E08000016,E07000027,E07000066,E07000084,E07000171,E06000022,E06000055,E09000004,E08000025,E07000129,E06000008,E06000009,E07000033,E08000001,E07000136,E06000028,E06000036,E08000032,E07000067,E07000143,E09000005,E07000068,E06000043,E06000023,E07000144,E09000006,E07000234,E07000095,E07000172,E07000117,E08000002,E08000033,E07000008,E09000007,E07000192,E07000106,E07000028,E07000069,E06000056,E07000130,E07000070,E07000078,E07000177,E06000049,E06000050,E07000034,E07000225,E07000005,E07000118,E07000048,E09000001,E07000071,E07000029,E07000150,E06000052,E07000079,E06000047,E08000026,E07000163,E07000226,E09000008,E07000096,E06000005,E07000107,E07000151,E06000015,E07000035,E08000017,E07000108,E08000027,E09000009,E07000009,E07000040,E07000049,E07000085,E07000242,E07000137,E07000152,E06000011,E07000193,E07000061,E07000086,E07000030,E07000207,E09000010,E07000072,E07000208,E07000036,E07000041,E07000087,E07000010,E07000201,E07000080,E07000119,E08000037,E07000173,E07000081,E07000088,E07000109,E07000145,E09000011,E07000209,E09000012,E06000006,E07000164,E09000013,E07000131,E09000014,E07000073,E07000165,E09000015,E07000089,E06000001,E07000062,E07000090,E09000016,E06000019,E07000098,E07000037,E09000017,E07000132,E07000227,E09000018,E07000011,E07000120,E07000202,E06000046,E06000053,E09000019,E09000020,E07000153,E07000146,E06000010,E09000021,E08000034,E08000011,E09000022,E07000121,E08000035,E06000016,E07000063,E09000023,E07000194,E07000138,E08000012,E06000032,E07000110,E07000074,E07000235,E08000003,E07000174,E06000035,E07000133,E07000187,E09000024,E07000042,E07000203,E07000228,E06000002,E06000042,E07000210,E07000091,E07000175,E08000021,E07000195,E09000025,E07000043,E07000050,E07000038,E06000012,E07000099,E07000139,E06000013,E07000147,E06000024,E08000022,E07000218,E07000134,E07000154,E06000057,E07000148,E06000018,E07000219,E07000135,E08000004,E07000178,E07000122,E06000031,E06000026,E06000029,E06000044,E07000123,E07000051,E06000038,E09000026,E06000003,E07000236,E07000211,E07000124,E09000027,E07000166,E08000005,E07000075,E07000125,E07000064,E08000018,E07000220,E07000212,E07000176,E07000092,E06000017,E07000167,E08000006,E08000028,E07000168,E07000188,E08000014,E07000169,E07000111,E08000019,E07000112,E06000051,E06000039,E08000029,E07000006,E07000012,E07000039,E06000025,E07000044,E07000140,E07000141,E07000031,E07000149,E07000155,E07000179,E07000126,E07000189,E07000196,E08000023,E06000045,E06000033,E09000028,E07000213,E07000240,E07000204,E08000013,E07000197,E07000198,E07000243,E08000007,E06000004,E06000021,E07000221,E07000082,E07000205,E08000024,E07000214,E09000029,E07000113,E06000030,E08000008,E07000199,E07000215,E07000190,E07000045,E06000020,E07000076,E07000093,E07000083,E07000114,E07000102,E06000034,E07000115,E06000027,E07000046,E09000030,E08000009,E07000116,E07000077,E07000180,E08000036,E08000030,E09000031,E09000032,E06000007,E07000222,E07000103,E07000206,E07000216,E07000065,E07000156,E07000241,E06000037,E07000047,E07000052,E07000127,E07000142,E07000181,E07000191,E09000033,E07000053,E08000010,E06000054,E07000094,E06000040,E08000015,E07000217,E06000041,E08000031,E07000237,E07000229,E07000238,E07000007,E07000128,E07000239,E06000014
0,11.53483713,6.624679148,10.14771466,8.697556755,9.137236263,8.733488742,9.132884168,12.99937304,14.7407001,12.43712723,8.419804084,5.441437962,8.711465347,7.819476157,8.742231969,9.231825582,8.414022671,11.21877304,7.396329995,11.59467644,7.648509512,12.70531633,13.5199567,7.611079802,9.894774261,11.68415841,9.346502432,6.553140643,9.632185921,9.243795204,13.45798111,11.98757535,10.50131586,7.572522923,11.15328702,12.1353055,12.75830195,11.00212912,12.59882852,8.661945763,9.3895539,7.845554678,15.72858549,17.01919166,9.110518331,10.16015324,6.314330802,11.19347386,11.7103608,8.386365839,8.698594311,9.163603124,10.10154135,7.917675234,7.527068728,8.426440694,13.36163411,13.63140677,9.319624881,15.19631662,27.82603718,10.03713166,5.688403663,7.47467612,6.343496411,12.85129042,6.211559287,7.643546855,10.56900791,7.580588509,12.02006884,9.504736921,8.038762706,12.30012131,9.969243141,7.908802957,11.37060039,6.920487205,7.899283908,7.85402608,13.52592496,9.762726849,10.00505798,14.20470543,13.20247334,11.20144562,12.16822645,10.7652606,9.619364519,8.531455198,10.08951213,9.100550451,7.80137407,13.57460347,12.47998934,12.72280379,13.00685199,9.545430569,10.74471685,10.72099813,10.87230275,8.071513921,8.662383875,13.2719499,9.458445609,12.0812485,8.662777881,10.13877508,10.08998037,7.983090461,12.93524555,12.38078914,11.15368303,7.148978405,10.81523203,16.50396977,9.812419391,18.07442595,8.734370882,10.37161921,13.97631221,14.2265957,5.881251018,9.474727393,10.458759,10.29776243,7.972265962,12.96482651,7.849113193,11.8156191,9.225846691,9.704237199,13.15423779,9.04948675,8.472423128,9.135370021,5.754700147,6.177310064,15.18682004,16.27461032,8.441383895,7.484338581,6.174739537,14.08654642,6.581515364,11.76294791,16.12888393,7.39171432,7.413383371,8.120657103,12.02392066,14.20474227,12.07275573,10.60683325,9.127735592,9.245579097,9.518163885,9.595308164,12.47737364,11.61305253,8.6437,8.331196815,8.909668219,9.916996149,15.30557923,9.476804862,10.85236019,10.45603998,9.004537927,7.611486124,12.25322294,9.282411942,9.673262098,9.548799848,11.1001247,14.49755211,9.12636967,13.3613512,11.92270291,6.561462756,10.55902174,12.45685514,7.327799741,9.013999132,7.726905741,9.36686208,12.56149029,9.166304518,7.319773157,7.013003028,11.83289898,10.20793364,9.100933113,14.24953481,6.937505597,11.8379053,7.297327429,8.389493362,8.107374244,12.04168184,8.01700897,8.72586346,12.39116756,10.94507526,14.864581,7.197281896,6.796719265,10.96593057,10.83225587,13.05994928,19.21448087,8.394457451,11.62106817,10.76697004,12.91828931,7.862202422,9.576635242,14.13774656,11.42389274,14.42819423,14.12292073,8.502001481,10.33717399,11.91527272,8.264119976,8.673347422,8.658380048,10.87299414,12.75034853,6.485886788,9.17851692,7.564137907,9.412375904,11.88100104,15.24960173,13.52078085,11.64034568,9.621710684,14.96330527,7.841949504,9.757282588,9.179864177,11.03319222,12.00839427,11.23837175,9.651585625,8.767708168,13.30200357,6.366466359,7.738556341,8.784358476,14.34318795,13.22164091,10.46001259,9.72879392,6.804343669,9.535309602,10.29881014,8.454342604,8.085182099,7.091440845,7.920088464,11.44383986,9.563543157,11.02629947,6.568131271,13.13634723,11.49832019,8.104021468,6.278893847,7.909676198,9.236839856,12.90139553,9.506087447,10.20624909,6.611711008,8.838198105,10.87839479,12.90845831,7.732918405,11.8377594,9.39621435,11.53564053,8.723041105,9.969898543,11.4360036,11.04906177,11.7242855,12.65938849,13.14765277,7.54116214,9.177322669,14.22228155,15.03712348,7.825575996,9.257598351,13.04530848,7.087643203,13.12383521,11.26905067,9.789486577,10.9662455,10.18208904,13.67066205,11.72113559,10.00141737,12.05450955,8.732327234,11.93521996,18.60766614,8.792957551,6.49128204,8.676181767,13.43963815,11.69064938,5.310777529,11.58499429,11.33452513,10.11788906,8.416603376,10.75173767,9.959855038,9.675307266,12.09178525,6.777822736,8.306021916
1,17.53451037,8.628356618,14.1315776,13.24118049,14.10005986,13.0618308,12.70539892,19.66156218,19.36234851,18.24255815,9.807016829,7.671863012,12.81790711,11.70368705,11.77650473,13.88602453,12.03993512,16.12612134,9.72680779,16.72625211,10.04171125,17.33918548,17.59872002,9.869804302,12.63348247,18.50103244,14.40810144,8.028076753,14.78498917,13.77220053,20.14754938,17.08654419,16.426828,12.29543934,17.25654176,17.21093367,15.98085634,16.0466641,18.74681378,11.78508977,12.27002752,9.913664753,23.74353796,23.81345665,12.48785006,14.71846623,9.149520027,16.59831059,16.12016724,12.21769881,13.49525428,14.20445433,14.95661082,10.58755184,10.33497522,11.4368656,19.23042762,19.04824734,12.5558501,21.76795714,46.94696953,15.51968801,8.143232307,10.64277406,8.997276294,18.89097808,8.084530262,10.33927934,13.2111079,11.19884101,17.20824999,14.3428981,10.78783362,18.74512859,14.81928793,10.43051297,13.90547215,8.716228418,11.54564685,10.01720215,19.96865777,14.95978705,15.61927624,20.52561037,18.8481151,16.73510802,16.58113525,14.8497186,12.87449372,11.73935559,15.18160892,14.78919842,10.13849189,19.27679021,17.43716211,18.32069496,18.64307174,13.7310675,18.31620736,16.79323014,15.74842306,12.12261742,13.72971806,17.18385614,12.18931716,18.50787049,13.55539919,15.77651893,14.77893078,12.13732108,18.65271121,18.61272214,15.92637571,8.982647668,14.21957785,25.02868686,14.6586249,26.5929303,12.63111582,13.45127514,19.94772134,20.00205376,7.795427542,14.79763566,16.00943802,14.61650178,10.58180396,19.0193408,9.812560917,17.10118963,13.73482945,14.50689342,19.78558735,13.41878084,11.57062523,14.51020393,8.416623036,11.41177373,22.33083098,23.85934135,12.60943678,11.22361654,8.947076916,20.1032809,8.032383462,13.88944839,24.22536183,9.92451072,9.032849335,12.23700576,18.26269583,20.22631696,15.61051193,16.70221342,11.8695568,13.03608861,14.33497744,14.67874842,16.75911857,15.71377471,13.65734917,12.43901222,13.53677149,15.15183603,22.38964931,15.36001886,16.59368958,15.54730291,13.21605742,10.8265851,17.01314999,13.99296672,14.14025547,12.46646263,15.92261861,21.0872119,13.74089987,19.47750649,15.97356955,8.696392361,16.61436012,18.095853,9.394716061,13.96015609,11.55254423,12.04785558,17.29105082,12.83311759,11.07101265,9.446944584,19.6587867,15.32562096,12.25296458,21.21330654,9.071921719,17.12583172,10.12268358,11.7558404,12.40802077,18.96090468,12.75532353,12.02501755,19.02065041,16.95842455,21.26384338,9.894806128,9.447528672,16.4036041,14.00443309,19.95475221,24.86690612,10.38337925,16.93195433,13.59123959,19.44558103,9.539881061,13.06235967,21.23458144,16.84185375,22.00396454,20.59755178,12.33530461,13.61173458,14.66155929,11.11995986,13.27311914,10.58802377,13.40588889,18.68151826,8.516661069,14.30013995,10.65544022,14.01929238,15.13912318,21.90483157,20.2695405,15.28678026,14.91713454,21.37263144,11.26632603,13.55654725,12.34984122,16.1972308,16.8516916,17.38970181,14.23073724,13.69034979,17.05246851,8.425893825,12.58203712,13.09076114,20.73166194,19.49729965,15.20368591,14.81226231,8.701079359,12.82019312,13.76264327,12.97846048,10.68151122,9.727181973,11.04851545,15.52408278,14.61047474,16.65746565,8.324683962,19.65698075,16.65573946,12.1305328,9.531508575,10.34028428,11.7683909,18.64144559,14.63242939,15.4807485,8.805938617,13.04560717,16.65595989,20.63543328,11.41613137,17.60834291,13.43049237,17.04369637,13.46332585,15.0455931,16.46743746,14.35767749,17.5196436,18.18569646,20.35178364,9.08951759,11.74029594,20.63014596,23.87545462,9.785974449,12.61808385,19.44620666,10.7731764,18.30628333,16.59860004,14.82869331,15.50796372,15.02992765,20.31483414,17.7592067,12.47321777,17.76920968,13.48900074,17.61106399,27.4026565,13.91862157,8.361448034,13.17481895,20.51083058,17.63810284,6.764799182,16.6749407,16.65460594,13.10144304,12.24124339,17.10718963,14.13840931,14.28970451,16.66949364,9.023610735,11.75119783
2,15.51983788,7.714790446,12.54470839,11.48631606,13.13356184,12.88507043,11.98994072,15.82724368,18.72705175,16.42478239,8.692905904,7.327628462,12.00679257,11.39089494,10.64409758,12.46010578,10.83367242,16.01612076,9.44751732,15.91035548,9.449738811,16.77393749,15.328517,8.94287182,12.01463225,16.59209112,13.64957822,7.540422586,13.05627203,13.20828774,19.10421303,15.63209152,14.42305841,11.55484268,14.87669867,15.7893508,14.24088679,15.93969212,16.84816021,11.98692709,10.90349357,9.595486805,21.95640913,21.58842053,11.01278936,13.68539187,7.956720653,15.29777164,14.83402887,11.00800017,11.86890364,13.5345258,13.17418608,10.20262036,9.31986442,10.46781941,16.45800635,17.39456782,12.27285502,19.28003886,36.88134566,14.36943643,7.33944068,11.21106137,8.265079524,20.16371667,7.362737138,9.76289045,13.37816231,10.45781481,15.82923382,12.83646265,10.06069138,17.47713927,14.61607097,10.08668145,12.40792847,7.83045055,11.21023269,9.844756132,18.57042685,13.46705963,14.74101313,17.32641895,17.47460893,15.47627145,14.95732795,13.0195155,11.92790765,11.40336759,15.48914611,13.42442208,10.31529145,17.91487908,16.95663505,17.22286603,17.06037431,12.46914681,16.02082941,15.23198423,15.04019316,11.52168695,13.2340222,17.92416635,10.741311,16.14220418,13.20904042,15.58818935,13.96504269,11.71932354,18.91286492,16.73113231,15.26469809,8.098287584,13.69375866,24.0774113,13.7767682,25.52958361,12.79630145,13.12700243,19.0045019,17.62903296,7.537647355,13.58555913,14.84532882,14.2309685,10.29902107,17.33325941,10.3056533,16.13052839,11.86957754,13.01361444,17.95300408,12.85517114,11.78991545,12.91227228,7.605042092,9.54463254,20.55594777,21.67632791,12.2704099,10.2505468,8.723741146,19.01130685,7.565663609,13.32513355,21.91791917,9.179443891,8.567071048,11.66616068,15.58722162,20.09264031,14.15823762,15.42088207,11.30594399,12.91247161,13.45863976,14.10278781,15.04487841,14.90969668,11.78212049,11.757223,11.34736774,13.94861032,21.24061893,14.19145625,15.06969208,13.48054342,12.36096134,10.05137921,16.58396008,12.92606148,13.04069731,12.36043021,14.01290758,20.74187044,13.38139994,19.27581775,14.22062997,8.419527929,14.43401467,17.18271858,8.633445349,12.49487305,10.62773545,11.83986214,15.53997157,12.14182458,10.61533012,8.686156211,17.41440581,14.97409993,11.79101009,18.97880662,9.170922461,15.71517403,10.26160287,11.18895345,10.81089037,16.46265544,12.16899468,12.07861872,16.30319972,15.79287807,20.08750214,8.820932955,9.272416674,15.09735534,13.76539917,18.08031733,23.96736918,9.522027515,15.56526855,12.3705387,17.13039319,8.842510538,12.92250784,19.24320214,14.75193348,21.82584849,21.82607285,12.1929833,13.35900763,14.18400157,10.92118485,11.92200686,9.758214424,12.46806259,16.25332845,7.702561857,13.5039254,9.852494435,13.30274919,13.73327437,21.09168552,18.71588399,15.16828695,12.83901368,18.34885866,10.57732092,12.5559341,10.52503965,15.16967774,14.64328073,15.28980203,13.779377,13.32016106,15.72189384,7.878154981,11.62878647,12.46696196,20.09475093,16.92833683,14.06666024,13.03268317,8.337342054,11.3192698,13.04661208,13.2145698,10.58339041,8.902622157,10.67199502,14.66799135,13.2029167,14.84246109,7.056682617,17.59832965,14.93744414,11.74823198,9.044348813,9.936852075,10.69426263,16.38902771,13.6251157,13.46620644,8.720704662,11.82420927,15.11957205,18.03450137,10.25286399,17.20811831,13.02995608,15.29805156,12.66050206,13.52765622,15.98891446,12.76112519,15.82683766,17.20108899,19.01659817,8.368075627,11.25361154,18.892691,22.27960481,9.488737586,11.68082964,17.28556538,10.20706132,17.11197072,14.57285328,13.14832057,14.59030852,14.23600847,18.13651551,17.39138892,11.03628788,16.01318229,12.76804655,15.24917389,24.89971515,13.00043425,7.987089913,12.05438693,17.95918928,15.75011903,6.119859949,15.70627279,15.65321654,12.44041398,12.42352352,14.34977069,13.21615838,13.07761179,15.66023677,8.956950429,11.11398792
3,13.6330841,7.307397034,11.38905213,9.917691718,11.85292887,11.33762858,10.61736021,13.92100223,17.24162297,14.15595275,7.901622028,6.846741963,10.77786791,9.884833066,9.412441687,10.95826113,10.2807904,13.8724793,8.496655239,14.37819966,9.313973223,16.55193216,14.48696551,8.324922565,11.5755556,15.0093792,11.85966759,7.126433199,12.33080588,11.52616388,17.88893584,13.92611896,13.31105771,10.65970304,13.1804804,13.88047966,12.82590616,13.87577569,16.34020217,11.2729312,10.09044434,8.45816255,18.17969765,18.27580302,10.09348494,11.66636824,7.623770312,12.87978864,13.85497322,10.11939762,10.91232463,13.09828279,12.10896821,8.841688335,8.820540637,9.209346685,15.19341344,14.2828836,10.38565044,15.62441094,27.37302885,13.23826287,7.628793918,10.00798752,7.77238631,15.29456585,6.789083946,9.655997214,11.92176359,9.885367696,13.89658001,11.20127573,9.727235105,16.13686156,11.76880707,9.404103571,11.43609536,7.322052768,9.862556333,8.955643092,17.3869586,11.20497451,12.58817993,15.38447594,14.74424685,13.20109653,14.51070704,11.4865758,10.85303723,10.78154729,13.79073004,11.80937916,9.130550022,14.77623139,15.39920914,15.24404052,15.09763784,11.88516004,13.83054407,12.49459993,13.56344336,10.90722454,10.83142174,14.86404069,9.092277752,13.96321298,11.8648822,12.95334163,12.89864922,11.51077092,16.84391209,14.17023223,14.48877144,7.278116191,11.77035798,20.23880713,11.26456454,23.23877051,11.52358386,11.3943442,16.95467994,15.48479047,6.149540825,12.66070718,12.67002916,12.34988352,9.013972913,15.58681297,9.318868211,14.60720896,11.42361417,11.10849169,16.75987503,11.24366526,11.38588507,12.69793719,7.186840954,7.617577816,18.36665787,18.93918336,11.48958115,9.978429082,8.184592792,15.94355147,7.22213166,12.25594482,20.07094836,9.009067358,8.102171186,10.66880496,13.38858392,17.93240154,12.88041601,14.84689897,10.4482976,11.68528243,11.46021433,12.38230269,14.32118964,13.49419512,11.02810105,10.35071465,10.46216064,12.32567689,18.92019092,13.50747605,13.16973866,11.83097808,10.79016222,9.385516712,13.05257801,11.46763059,11.99763241,10.42146481,11.89291646,19.21323716,12.02439594,17.44710956,11.90635184,7.84048618,13.12271877,15.403337,7.699924064,11.54326298,9.901149173,9.485414473,14.55357364,10.55140421,9.332626877,7.407807704,16.68487781,12.77854846,11.02387498,17.24523335,7.918427921,13.72455006,9.524268254,10.40116092,10.01663071,15.31939769,10.7905414,10.4229488,16.46235052,14.69849144,18.61651929,8.108805502,8.378288002,13.7227507,12.02903994,15.00769305,21.31097354,9.054135212,13.86505348,11.45297688,15.33233642,7.928914567,11.03742519,16.22348203,12.33443314,19.06157572,17.3993024,11.64651156,11.70842575,13.38068196,10.45042391,11.27841999,8.737341118,12.25569605,14.51504699,7.178744735,11.92886722,8.76568514,11.84104563,12.01880235,18.03975156,15.66851733,13.92235312,11.59663738,17.07468118,10.1015655,11.62231281,9.438807016,12.9187006,13.49233029,13.63545118,11.1850547,11.21693226,13.38397471,6.932144437,10.55768337,11.27135089,17.93618393,15.10510502,12.08578601,12.29896729,7.54447159,10.67471825,10.91458402,11.80118468,9.144354865,8.377578921,9.711158238,12.96976721,10.97249847,13.27348176,6.791439529,14.82002523,13.3361155,9.947700188,8.164921669,9.04416102,10.3121787,15.14738308,12.38828774,12.02990332,7.910898633,11.10918032,13.51117321,16.77338207,9.427431647,14.92514555,11.72532237,13.38029577,12.17791754,12.329876,14.5710231,11.35754281,13.6562367,14.89790138,17.10140891,7.560925898,10.60763914,18.20582575,19.51441445,8.09406079,10.19368011,15.5704274,9.116092201,14.35190689,13.56035552,11.89318707,13.25758289,12.69651534,16.6248738,13.79672481,10.07323766,13.91038876,10.54118004,16.72635527,20.46679807,11.4583537,7.148626438,10.81641584,15.71324411,13.78970136,5.843224094,13.32497183,13.7826586,11.49875144,10.731416,11.8285223,12.00180677,11.74082224,13.84991173,8.455195377,9.68329065
4,11.57493775,6.183001208,10.20092952,8.90719492,11.19163988,9.61953099,9.184125339,12.55358238,15.18220021,12.32243459,7.067022767,5.785799482,9.799244732,8.753573071,9.421189067,9.274247209,8.695237796,12.21566227,7.683616843,12.66977907,8.157681746,14.9311642,12.86084663,7.126300176,10.29174126,13.50796748,11.00904393,6.477283533,10.07085225,10.96502945,15.32572884,11.34836787,11.26835909,9.253026745,10.81365192,11.51897854,10.46539983,12.25921067,14.20779102,9.599947464,9.217867495,7.815971205,15.58851488,15.55019418,8.648163682,10.24995777,6.841958534,11.30808044,11.45684322,8.822612747,9.281224588,10.40489777,10.74505871,7.937108196,7.857553728,9.074003883,13.48973267,11.6420488,8.9604652,14.63370292,29.03447294,11.84382653,6.599518711,8.783128654,6.881373196,13.42372888,5.96124362,8.261111075,10.34117424,8.271486597,12.34981108,9.619167334,7.988713321,14.04309143,11.32611406,8.411252536,9.208005505,6.609994881,9.073008514,7.467899743,14.9572076,10.63829479,10.71703543,13.72513707,13.37627795,10.82101132,12.19954526,10.59512478,9.132047328,9.274581609,12.12235894,9.790635637,8.515254439,12.38145326,12.93051699,13.48449934,13.11455538,10.32743779,12.66182109,11.61481022,12.86240574,9.630274166,10.19738085,13.44031751,8.151145551,13.41842295,10.5493923,11.99753141,10.60872704,9.625799238,15.1622946,12.57887721,12.29756593,6.732075488,11.06356524,18.47435902,9.821025846,19.31352593,10.93226954,9.680006178,14.74179022,12.58367515,6.233312528,12.38397694,11.63082814,11.22068957,8.255877926,12.86924287,8.570785704,12.24771007,9.939495135,9.274595063,14.5179007,9.915232017,9.195395401,10.93772228,6.088217688,6.793812072,14.98922336,16.74248568,10.03424819,8.905953839,6.992450462,13.566539,6.308003977,10.81143464,17.4255075,7.539380575,6.992590223,9.493187005,11.1738865,15.75862717,11.46863511,14.03668841,9.370396579,10.39263044,10.67644624,11.16455579,12.68104794,12.13731894,10.50258499,9.560658007,9.517230563,10.55695362,15.69396993,11.3237541,10.46725566,10.05356244,9.83822918,8.170679408,11.61975097,9.724698961,11.41988163,9.422499338,11.07621178,17.09229962,10.731121,15.95932175,10.84418769,7.021811315,10.7485698,14.53787877,6.484432994,9.588410947,8.500865576,8.359921706,13.23338819,9.753204317,8.850159199,6.600003012,14.59274001,12.46348386,9.2674983,14.64102001,6.940417727,13.01014721,8.183191416,9.637334943,9.020953393,13.80075835,9.720207468,8.975697088,13.70262442,13.29753604,15.79274027,7.102956563,8.002022919,11.20626065,10.11021795,12.06727694,20.83252153,8.321573128,10.61831055,10.11016613,13.44833647,7.271181903,10.02215521,13.89790766,10.91440843,17.50588345,15.67841481,9.764737947,10.00198067,11.60620114,8.969306261,10.04752737,7.764121013,10.66343993,12.21743378,6.389991036,10.80008042,7.9921735,10.48797806,10.35618232,15.03145349,13.22625042,12.08602865,9.558940071,14.05661078,10.31240339,10.71048277,8.477425157,11.12065084,12.01077693,11.0097753,9.317321827,9.985600449,11.26679191,5.848749294,9.681671911,9.800163674,16.19464855,13.36156856,10.25288869,10.13598734,6.773019772,9.017643191,10.33492175,9.581791049,8.140833711,6.914774959,8.734196779,10.65305805,9.502326879,11.14041993,6.344385819,13.40675625,11.81805692,9.457406051,7.236829805,8.024865935,8.644361901,12.76403247,10.68022031,11.03211833,7.087029907,10.21663943,11.79404954,14.96342044,8.252220054,12.63049502,10.20006509,11.37370506,10.69763458,10.60299561,12.44437201,9.230790017,11.46047074,12.39570398,15.18602331,6.974349826,9.063059576,15.47446848,16.88015923,7.2636597,9.20242042,13.5440887,8.171384604,11.8247339,10.99129325,11.64086391,11.53178814,10.74241808,14.04678888,13.05261928,9.474620192,12.89490875,9.714381755,13.06558198,17.90921429,10.73719074,6.409798447,9.488140497,14.14406821,12.01518522,5.067957259,11.64291542,11.64108485,10.07707541,9.830392729,10.23920268,10.6267867,10.30212642,12.00211348,7.613715362,8.509158186
5,8.292151506,6.325923441,8.06966097,7.324896539,8.587307368,8.438114405,7.562801512,10.79227602,12.81994785,9.501041394,5.862554024,4.923551831,7.447777184,6.832735354,8.03184832,7.651431372,8.040730213,9.853917976,6.463131282,10.45200736,6.872201658,13.90720414,10.61289404,5.938608205,9.261735412,10.44604632,8.562375514,5.155918094,7.584272224,9.803367678,12.45048389,9.049109833,8.247939562,7.305486402,9.696434789,8.49287054,8.843894568,9.682310369,11.26219165,7.729089694,7.103251585,6.277511277,12.70298719,12.18281341,7.297556025,8.991314731,6.674731721,8.936719129,8.728318472,7.814498737,7.219416109,8.25832805,8.261630033,6.182047334,6.017171363,6.922652533,11.57016933,10.3626859,7.573711874,12.54277365,22.08078996,9.650197113,5.421896802,8.344541013,6.460660135,12.0142448,5.142156547,6.814504661,9.340881951,6.802992272,9.861883479,7.269516535,7.017458013,10.18700488,10.35563517,6.873245254,8.421708714,5.527476599,8.001628187,6.263359616,11.77942397,8.290896329,9.439818362,11.53721078,11.30339606,8.528089953,12.00439483,9.856201388,8.100541426,7.423301751,9.921731922,7.816976919,7.528184094,8.329719864,11.1940941,10.04148607,9.686040992,8.688147992,10.10268639,9.141664498,11.19804823,8.217880534,8.451506716,11.17508294,6.514885847,9.960755526,9.279382348,9.151224783,9.020497176,8.891012988,11.72355338,10.28807278,10.31513084,5.409228551,8.707118538,13.87365551,9.13436902,15.77435372,7.63945349,8.268167093,12.05165829,9.85239459,4.79711366,9.845394929,9.679719318,8.685187266,7.563950673,10.53941268,6.799151797,10.23797308,8.286835783,7.681822762,11.05002495,7.939441171,7.645557251,8.494350189,6.56560852,9.015057633,11.42050387,13.68751532,8.35894205,7.534103951,5.950164073,9.512820102,4.857049164,10.19279762,13.25079574,6.775690951,5.658848281,8.129244095,9.38930648,11.39613513,9.701222131,12.00753248,8.053258798,8.46318791,8.194493142,9.130143802,11.01921399,10.25364384,8.56255276,8.061844503,8.757568485,9.889806155,12.00130327,9.545964394,9.343044127,7.541611728,8.400558484,6.890992491,10.0964957,8.400175929,9.23899576,7.893316627,8.87629195,14.68564931,10.27381812,13.14568158,8.738050673,5.898646254,7.542593628,12.45878642,6.044388124,9.580674618,6.908581758,6.721505673,10.8379509,7.931300301,7.538980325,5.810132065,11.38135196,9.936106959,8.07874622,13.61415331,6.244653836,11.1035912,6.852850365,7.950986397,7.661777837,10.79884155,7.412151908,7.387064768,11.98697367,9.846919742,13.68656589,7.004988041,6.172480524,8.753413612,8.336087112,8.555813443,18.17650919,6.677186523,8.331133366,8.546820298,12.56067839,6.087484807,7.477866829,11.09371637,8.424712955,13.36153426,14.02613779,9.211301485,8.301702757,9.323142606,7.781691955,8.827886226,6.467480126,8.759495348,8.899021764,5.154298069,8.94444797,6.946274875,8.478035387,9.483921014,12.16520095,11.27703753,9.289135553,7.811645384,12.73960179,8.517439354,9.415111918,7.409507038,9.457591104,10.80552334,9.227299226,8.107762373,9.169640321,9.810746997,4.965636438,7.764449667,8.125635353,12.24580057,9.369944559,7.102677056,8.62949327,6.183976462,7.660023463,8.564766968,7.504993104,6.296018304,6.115888869,7.612853805,9.127419228,8.319369591,8.94597618,4.88991348,10.01191237,9.030941317,7.823564094,5.693704482,7.143201953,7.173557889,10.15664941,9.639544896,9.810241901,6.288134325,9.177888115,10.23153486,11.9682574,7.865584245,11.29193734,8.109251967,9.067148099,10.33967483,11.25823905,9.102542373,7.906551383,8.899555077,9.714857602,11.6572452,5.334221276,7.503877205,12.6503875,13.1861262,5.691234253,6.653632589,11.44754397,7.306994014,9.567084307,9.544895849,9.688788096,8.147667954,8.48367729,13.06839132,12.60035838,8.106200602,11.60209243,8.556492281,12.23633792,15.76575463,9.289341578,5.297451738,7.741130445,11.3600839,9.330183715,4.135748133,8.343944639,9.251739726,8.38181131,7.158048669,7.534789942,9.06404428,7.476288608,10.9335636,6.221145265,7.209120193
