date,Public administration  and defence,Transport storage  information and  communication,Education
2008,614.3,25.1,103.4
2009,5.1,296.2,6.7
2010,260.1,76.1,5.4
2011,389.7,18.6,654.6
2012,150.4,28.3,39.2
2013,180.1,23.7,215
2014,390.3,24.9,312.8
2015,27.9,61.7,21.5
