earnings,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999
Jan,9796,8628,8473,9245,8507,8032,7853,7575,7720,7872
Feb,14842,12807,15853,11850,12013,11241,12246,11513,12756,10788
Mar,22442,20053,15739,15411,16256,14738,16378,15860,12930,13801
Apr,26422,21345,22687,22327,23323,22627,19082,17045,18705,17574
May,32588,30143,33856,32769,28410,26550,27181,29587,29025,28018
Jun,42187,38050,32496,33125,32117,32235,34425,30077,27285,27560
Jul,37605,34655,37839,41855,39809,39599,33604,33836,33041,37010
Aug,42010,47685,49083,40151,39228,38757,46161,45514,43365,37657
Sep,47695,39168,41558,39547,39348,41412,34253,33879,33807,34822
Oct,24295,23791,26241,25248,24126,20098,20312,20967,23142,23407
Nov,15547,16689,13896,13459,13399,12741,14186,14146,12671,13041
Dec,15721,13742,13843,14210,14533,14982,13294,12537,12856,11965
