earnings,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989
Jan,14280,15744,13133,12620,11718,10923,10634,12038,10998,10573
Feb,19304,21118,16825,16434,16163,14878,14915,17101,14278,14675
Mar,34127,26846,24978,25650,26526,25325,25299,19707,21039,23060
Apr,30718,31373,31519,32701,29383,27431,24819,27039,30115,28425
May,35371,34292,31006,29429,30897,31021,35934,36780,31213,31795
Jun,35275,32738,33974,34573,41788,42283,37306,37973,37982,37918
Jul,37365,36526,41743,42329,38885,38475,39375,41165,46236,44695
Aug,47306,43247,39066,39521,42522,51407,51179,50278,43510,42404
Sep,40292,39985,41052,42320,47612,41153,42296,44303,45552,51493
Oct,30896,31333,30904,30797,25992,26426,28581,31550,32168,27538
Nov,24777,19436,18801,18668,18296,20611,20624,17373,17688,17449
Dec,20311,19335,19165,19292,19404,16456,16962,16454,17713,16672
