date,20-30,30-40,40-50,50-60,60+
01/06/1986,17029 ,17131 ,18660 ,19084 ,15758 
01/06/1987,17677 ,18538 ,19551 ,20106 ,16245 
01/06/1988,19800 ,19056 ,20628 ,20775 ,18673 
01/06/1989,19011 ,20047 ,22489 ,22054 ,19134 
01/06/1990,20589 ,20515 ,24169 ,22937 ,19711 
01/06/1991,20361 ,21912 ,23265 ,21753 ,19977 
01/06/1992,19570 ,20360 ,23113 ,22415 ,18906 
01/06/1993,19003 ,20296 ,21607 ,21819 ,19293 
01/12/1995,18891 ,20633 ,22487 ,22672 ,18996 
01/12/1996,19209 ,19984 ,22778 ,22264 ,19532 
01/12/1997,19354 ,21936 ,23102 ,23245 ,20499 
01/12/1998,19710 ,22197 ,23907 ,23245 ,20917 
01/12/1999,20959 ,22641 ,23861 ,25652 ,20747 
01/12/2000,21781 ,24091 ,25796 ,26184 ,22889 
01/12/2001,22489 ,25466 ,25747 ,27147 ,22384 
01/12/2002,26667 ,26823 ,26693 ,27795 ,24586 
01/12/2003,24913 ,27825 ,28106 ,29247 ,26283 
01/12/2004,25614 ,27928 ,27114 ,29568 ,26364 
01/12/2005,26361 ,28193 ,29219 ,30192 ,28223 
01/12/2006,26592 ,28132 ,29478 ,30279 ,27839 
01/12/2007,25994 ,30369 ,29348 ,30663 ,28698 
01/12/2008,26322 ,30356 ,29646 ,30153 ,28504 
01/12/2009,24989 ,29270 ,28842 ,29809 ,28610 
01/12/2010,25506 ,30250 ,28448 ,29084 ,29874 
01/12/2011,23779 ,29421 ,27376 ,29268 ,28350 
01/12/2012,21971 ,28920 ,27199 ,27932 ,29290 
01/12/2013,22574 ,26824 ,26190 ,27227 ,28948 
01/12/2014,22352 ,27694 ,27487 ,28725 ,29533 
01/12/2015,25378 ,28316 ,26913 ,29473 ,31019 
