spine,Cancer,Circulatory (eg Heart disease),Respiratory (eg Influenza),Mental and behavioural (eg Dementia),Nervous (eg Parkinson disease),Digestive (eg Reflux),External (eg Car accident),Genitourinary (eg Chronic Kidney disease),Infection (eg Malaria),Musculoskeletal (eg Arthritis),Endocrine and nutritional (eg Diabetes),Other
100,80,268,297,108,21,19,25,51,6,9,13,220
99,71,145,183,73,25,19,16,15,2,4,7,71
98,90,245,215,120,26,27,26,30,5,12,15,81
97,137,299,265,164,51,26,26,49,5,12,18,87
96,234,446,378,218,72,38,42,66,10,9,19,132
95,440,836,670,412,152,76,57,120,29,10,26,193
94,627,1177,825,644,194,137,99,148,41,21,53,207
93,816,1307,943,683,237,125,126,176,39,18,54,229
92,948,1575,1048,734,302,165,141,170,54,37,76,167
91,1201,1855,1192,849,310,209,177,185,73,32,89,214
90,1365,2099,1304,923,410,239,175,200,66,40,111,202
89,1633,2215,1346,938,464,268,208,192,73,49,96,168
88,1823,2436,1546,989,464,251,233,189,85,53,98,136
87,2023,2495,1454,971,474,289,193,200,88,51,119,158
86,2191,2656,1541,990,567,274,210,194,93,63,127,133
85,2438,2732,1536,970,578,341,190,190,106,66,141,107
84,2522,2746,1453,918,557,334,231,176,91,62,129,104
83,2655,2622,1462,800,600,357,204,179,94,47,120,109
82,2672,2552,1376,675,565,310,197,139,91,56,120,68
81,2553,2364,1268,629,518,299,171,141,66,55,125,70
80,2714,2398,1233,537,533,286,183,134,73,40,96,54
79,2653,2298,1147,444,456,277,159,116,71,51,121,54
78,2606,2095,1114,409,391,277,183,123,71,43,100,49
77,2667,2057,1087,345,406,260,157,79,75,30,97,60
76,2591,1982,978,285,328,267,144,87,68,43,95,47
75,2515,1718,922,256,305,246,136,75,60,28,79,40
74,2280,1557,820,187,256,245,121,58,54,30,82,40
73,2282,1491,745,149,227,250,99,61,51,17,61,37
72,2366,1522,756,128,222,231,109,49,52,24,74,53
71,2364,1475,705,116,205,243,126,55,36,24,70,48
70,2202,1394,603,61,175,235,114,48,49,27,58,46
69,2090,1252,574,67,161,234,96,39,43,28,62,50
68,2385,1384,630,72,175,275,112,44,48,23,74,62
67,2118,1249,485,50,147,266,148,31,35,18,69,60
66,1836,1100,388,47,122,236,132,30,36,21,55,47
65,1558,988,419,30,104,231,115,24,36,17,57,61
64,1470,910,373,21,93,246,130,20,31,16,53,39
