spine,Cancer,Circulatory (eg Heart disease),Respiratory (eg Influenza),Mental and behavioural (eg Dementia),Nervous (eg Parkinson disease),Digestive (eg Reflux),External (eg Car accident),Genitourinary (eg Chronic Kidney disease),Infection (eg Malaria),Musculoskeletal (eg Arthritis),Endocrine and nutritional (eg Diabetes),Other
63,1328,848,308,19,89,241,113,15,28,13,38,63
62,1242,763,255,18,71,182,116,13,30,17,33,62
61,1148,746,222,24,66,179,136,10,28,10,39,38
60,992,689,213,11,65,184,150,27,27,8,39,60
59,883,557,175,13,60,219,129,11,23,14,35,26
58,852,568,159,17,53,166,158,16,28,12,31,30
57,805,573,131,11,69,185,151,7,32,6,37,48
56,662,577,132,12,47,198,168,10,23,12,26,46
55,643,499,107,7,49,188,170,7,27,8,32,39
54,514,460,126,13,36,202,169,8,20,8,24,35
53,539,437,90,17,44,164,154,6,20,6,26,40
52,474,368,87,10,60,171,175,4,15,6,27,25
51,389,376,88,15,28,170,197,7,29,2,25,33
50,393,398,78,9,41,171,229,8,32,3,22,41
49,342,280,71,9,36,165,209,8,27,12,30,34
48,259,261,52,12,33,145,219,7,20,4,24,28
47,224,296,55,16,33,134,226,6,14,1,20,21
46,189,245,41,11,39,116,202,2,8,4,22,31
45,181,181,40,9,27,97,220,0,15,3,20,25
44,165,158,41,12,25,111,228,2,15,4,13,26
43,122,142,25,18,26,98,203,2,16,5,15,19
42,119,133,29,6,20,84,222,2,12,1,17,19
41,86,115,19,10,14,50,232,4,12,3,15,11
40,65,83,16,12,20,67,200,2,17,0,12,24
39,77,74,14,5,18,44,193,1,4,0,10,16
38,67,71,14,7,15,52,180,1,5,1,8,13
37,59,41,10,7,14,44,173,0,9,4,13,9
36,66,52,18,9,9,52,178,2,4,1,13,11
35,46,40,13,6,18,45,184,0,0,0,10,10
34,35,55,11,7,15,36,183,0,7,0,6,10
33,41,29,13,7,14,23,178,1,5,0,8,9
32,46,25,10,6,21,23,193,4,8,0,5,17
31,31,27,10,2,7,16,140,1,7,1,6,10
30,35,22,5,2,3,11,143,1,5,0,12,9
29,30,31,8,4,16,11,121,0,2,0,4,10
28,21,21,9,3,11,7,146,2,3,0,11,10
27,29,12,9,1,11,8,139,0,3,0,7,11
26,29,14,4,0,12,1,124,2,2,1,5,11
25,18,18,2,3,18,6,173,0,0,0,5,12
24,22,17,6,1,14,2,145,1,0,0,8,6
23,20,13,3,0,16,2,139,0,0,0,7,9
22,16,9,5,1,15,1,131,0,2,0,2,9
21,16,15,0,1,15,0,124,0,2,0,2,6
20,6,7,8,2,7,3,116,1,0,2,11,4
19,16,10,5,0,9,2,113,1,1,0,7,5
18,21,5,3,0,9,2,91,0,1,1,4,5
17,13,8,2,0,12,0,57,0,1,0,3,4
16,10,3,3,0,5,3,35,0,1,0,3,1
15,9,4,2,0,8,0,28,0,1,2,2,3
14,4,3,1,0,6,1,13,0,0,0,0,4
13,4,5,1,0,5,0,10,0,1,0,4,3
12,9,1,3,0,3,0,7,0,0,0,3,3
11,12,0,6,0,3,1,8,0,0,1,2,4
10,8,3,5,0,3,1,5,0,4,0,2,4
9,6,2,3,0,5,1,5,0,0,1,2,4
8,8,0,0,0,1,0,2,1,2,0,3,7
7,13,0,3,0,4,1,7,0,1,0,1,5
6,6,1,6,0,5,2,3,0,0,0,1,7
5,10,1,0,1,1,0,1,1,4,0,2,7
4,14,0,5,0,4,2,5,0,4,1,2,6
3,7,2,4,0,9,1,7,0,8,0,2,7
2,9,5,10,0,5,0,6,2,10,1,5,6
1,5,4,12,0,17,5,19,0,6,0,8,32
0,9,14,27,0,40,8,29,1,23,2,22,300
