earnings,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
Jan,9796,8628,8473,9245,8507,8032,7853,7575,7720,7872,7101,6196,6788,7998,8977,7820,6151,6150,5857,6679,6643
Feb,14842,12807,15853,11850,12013,11241,12246,11513,12756,10788,11452,9720,10850,11861,13256,10671,8966,8483,9100,9818,8744
Mar,22442,20053,15739,15411,16256,14738,16378,15860,12930,13801,12939,12920,14255,14166,12789,11904,10763,12312,12653,10311,11388
Apr,26422,21345,22687,22327,23323,22627,19082,17045,18705,17574,20221,16572,15105,18066,19086,17140,17876,14219,14250,15623,17034
May,32588,30143,33856,32769,28410,26550,27181,29587,29025,28018,24617,23413,24385,28994,27518,23985,21965,21621,25760,25939,26833
Jun,42187,38050,32496,33125,32117,32235,34425,30077,27285,27560,29356,30891,31634,28092,28376,27053,26410,30192,24050,23428,25746
Jul,37605,34655,37839,41855,39809,39599,33604,33836,33041,37010,37740,31248,31097,32860,39738,36398,34501,32594,28608,29174,34151
Aug,42010,47685,49083,40151,39228,38757,46161,45514,43365,37657,39194,38580,43957,46086,40138,37231,37128,36595,43074,38971,36562
Sep,47695,39168,41558,39547,39348,41412,34253,33879,33807,34822,39761,35503,30617,32923,33295,31648,34544,32103,28427,28900,30761
Oct,24295,23791,26241,25248,24126,20098,20312,20967,23142,23407,19476,17915,18806,20432,22947,19212,16697,16353,18076,19500,21472
Nov,15547,16689,13896,13459,13399,12741,14186,14146,12671,13041,12652,12356,14283,14685,12566,11259,10891,10967,12887,11122,11309
Dec,15721,13742,13843,14210,14533,14982,13294,12537,12856,11965,13452,13913,13819,13946,14383,13484,13562,13778,13052,12978,13165
