age,males,females
0,29,23
1,19,14
2,6,3
3,7,5
4,5,4
5,1,3
6,3,8
7,7,6
8,2,0
9,5,3
10,5,1
11,8,2
12,7,4
13,10,9
14,13,10
15,28,14
16,35,22
17,57,21
18,91,31
19,113,34
20,116,32
21,124,29
22,131,33
23,139,39
24,145,31
25,173,29
26,124,48
27,139,37
28,146,40
29,121,61
30,143,41
31,140,38
32,193,57
33,178,46
34,183,50
35,184,56
36,178,55
37,173,51
38,180,51
39,193,73
40,200,53
41,232,44
42,222,83
43,203,58
44,228,81
45,220,69
46,202,85
47,226,72
48,219,72
49,209,64
50,229,78
51,197,86
52,175,58
53,154,80
54,169,81
55,170,67
56,168,62
57,151,63
58,158,56
59,129,58
60,150,79
61,136,53
62,116,50
63,113,61
64,130,54
65,115,60
66,132,60
67,148,80
68,112,68
69,96,62
70,114,53
71,126,82
72,109,89
73,99,60
74,121,81
75,136,69
76,144,102
77,157,113
78,183,120
79,159,150
80,183,150
81,171,164
82,197,164
83,204,196
84,231,229
85,190,226
86,210,242
87,193,234
88,233,238
89,208,257
90,175,241
91,177,233
92,141,236
93,126,218
94,99,214
95,57,140
96,42,104
97,26,73
98,26,70
99,16,60
100,25,116
