date,ILI,TWO
1933,54.6,42.6
1934,59.3,46.1
1935,59.8,46.6
1936,60.3,46.9
1937,60.6,47.4
1938,61.2,47.8
1939,74.4,58.3
1940,80.5,63.4
1941,68.5,53.2
1942,66.7,51
1943,54,40.9
1944,54.5,41.6
1945,72.1,54.7
1946,68.9,53.6
1947,73,56.6
1948,72,56.4
1949,68.6,53.7
1950,66.1,51.7
1951,69.2,52.1
1952,67.6,50.9
1953,67.2,50.5
1954,67,50.3
1955,70.8,53.1
1956,70.9,52.9
1957,70,52.3
1958,68.5,51.1
1959,68,50.8
1960,67.8,50.9
1961,67.1,50.9
1962,65.6,50.3
1963,65.5,50.3
1964,66.4,51.3
1965,68.3,52.8
1966,70.7,54.6
1967,71.2,54.8
1968,75.6,58.1
1969,73.7,56.7
1970,77.5,59.5
1971,75.1,57.7
1972,78.4,60.5
1973,72.9,56.5
1974,69,53.7
1975,67,52.4
1976,61.5,48.5
1977,59.6,47.3
1978,59.7,47.6
1979,58,46.6
1980,60.4,48.1
1981,55.7,44.7
1982,52.5,42.5
1983,51.2,41.8
1984,50.5,41.6
1985,48.7,40.5
1986,47.7,39.9
1987,47.1,39.6
1988,45.8,38.8
1989,44.8,38.1
1990,42.1,36.1
1991,39.3,33.2
1992,39.6,33.4
1993,37.7,31.8
1994,36.3,30.6
1995,34.7,29.3
1996,33.6,28.5
1997,32.3,27.5
1998,31.1,26.6
1999,30.1,25.8
2000,30.1,25.9
2001,27.4,23.7
2002,28.8,25.1
2003,29.8,26.2
2004,29.4,26
2005,26.4,23.3
2006,24.9,22
2007,24,21.4
2008,23.5,21
2009,22.8,20.5
2010,23.6,21.3
2011,23.4,21.3
2012,24.5,22.4
2013,0,0
