date,United States,China,Japan,Germany,GB & NI,France,Italy,Brazil,Canada,South Korea,Australia,Russia,Spain,Netherlands,Switzerland,Argentina,Sweden,Iran,South Africa,Denmark,Colombia,Greece,Kazakhstan,New Zealand,Hungary,Cuba,Uzbekistan,Kenya,Croatia,Jamaica
0,1,2,3,4,5,6,8,9,10,11,12,13,14,17,19,21,22,26,32,36,38,45,49,52,56,65,68,71,80,116
5,1,3,6,5,2,7,9,13,20,8,10,4,14,11,24,27,29,25,30,28,23,26,22,19,12,18,21,15,17,16
