date,010000FOOD AND NON-ALCOHOLIC BEVERAGES,020000ALCOHOLIC BEVERAGES TOBACCO,030000CLOTHING AND FOOTWEAR,040000HOUSING WATER ELECTRICITY GAS AND OTHER FUELS,050000FURNITURE HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE,060000HEALTH,070000TRANSPORT,080000COMMUNICATION,090000RECREATION AND CULTURE,100000EDUCATION,110000RESTAURANTS AND HOTELS,120000MISCELLANEOUS GOODS AND SERVICES,010100FOOD,010101BREAD & CEREALS,010102MEAT,010103FISH,010104MILK CHEESE & EGGS,010105OILS & FATS,010106FRUIT,010107VEGETABLES INCLUDING POTATOES AND OTHER TUBERS,010108SUGAR JAM HONEY SYRUPS CHOCOLATE AND CONFECTIONERY,010109FOOD PRODUCTS,010200NON-ALCOHOLIC BEVERAGES,010201COFFEE TEA COCOA,010202MINERAL WATERS SOFT DRINKS AND JUICES,020100ALCOHOLIC BEVERAGES,020101SPIRITS,020102WINE (INC PERRY),020103BEER,020200TOBACCO,030100CLOTHING,030102GARMENTS,030103OTHER ARTICLES OF CLOTHING & CLOTHING ACCESSORIES,030104DRY-CLEANING REPAIR AND HIRE OF CLOTHING,030200FOOTWEAR INCLUDING REPAIRS,040100ACTUAL RENTS FOR HOUSING,040300REGULAR MAINTENANCE AND REPAIR OF THE DWELLING,040301PRODUCTS FOR THE REGULAR MAINTENANCE AND REPAIR OF DWELLING,040302SERVICES FOR THE REGULAR MAINTENANCE AND REPAIR OF DWELLING,040400OTHER SERVICES RELATING TO THE DWELLING,040401WATER SUPPLY,040403SEWERAGE COLLECTION,040500ELECTRICITY GAS AND OTHER FUELS,040501ELECTRICITY,040502GAS,040503LIQUID FUELS,040504SOLID FUELS,050100FURN FURNISHINGS CARPETS & OTHER FLOOR COVERINGS,050101FURNITURE FURNISHINGS,050102CARPETS & OTHER FLOOR COVERINGS,050200HOUSEHOLD TEXTILES,050300MAJOR HOUSEHOLD APPLIANCES INCLUDING FITTINGS AND REPAIRS,050301MAJOR HOUSEHOLD WHETHER ELECTRIC OR NOT & SMALL ELECTRICAL APPLIANCES,050303REPAIR OF HOUSEHOLD APPLIANCES,050400GLASSWARE TABLEWARE AND HOUSEHOLD UTENSILS,050500TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,050600GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,050601NON-DURABLE HOUSEHOLD GOODS,050602DOMESTIC SERVICES AND HOME CARE SERVICES,060100MEDICAL PRODUCTS APPLIANCES AND EQUIPMENT,060101PHARMACEUTICAL PRODUCTS,060102OTHER MEDICAL PRODUCTS & THERAPEUTIC EQUIPMENT,060200OUT-PATIENT SERVICES,060201MEDICAL SERVICES AND PARAMEDICAL SERVICES,060202DENTAL SERVICES,060300IN-PATIENT SERVICES,070100PURCHASE OF VEHICLES,070181NEW CARS,070191SECOND-HAND CARS,070102MOTOR CYCLES AND BICYCLES,070200OPERATION OF PERSONAL TRANSPORT EQUIPMENT,070201SPARE PARTS & ACCESSORIES,070202FUELS & LUBRICANTS,070203MAINTENANCE & REPAIRS,070204OTHER SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT,070300TRANSPORT SERVICES,070301PASSENGER TRANSPORT BY RAILWAY,070302PASSENGER TRANSPORT BY ROAD,070303PASSENGER TRANSPORT BY AIR,070304PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY,080100POSTAL SERVICES,080200TELEPHONE & TELEFAX EQUIPMENT AND SERVICES,090100EQUIPMENT AND ACCESSORIES INCLUDING REPAIR,090101EQUIP. FOR RECEIVING & REPRODUCING SOUND & PICTURE,090102PHOTOGRAPHIC AND CINE. EQU. & OPTICAL INSTRUMENTS,090103DATA PROCESSING EQUIPMENT,090104RECORDING MEDIA,090105REPAIR OF AUDIO-VISUAL PHOTO. DATA PROCESSING EQU.,090200OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,090201MAJOR DURABLES FOR IN/OUTDOOR RECREATION,090300OTHER RECREATIONAL ITEMS GARDENS AND PETS,090301GAMES TOYS AND HOBBIES,090302EQUIPMENT FOR SPORT CAMPING & OPEN-AIR RECREATION,090303GARDEN PLANTS AND FLOWERS,090304PETS AND RELATED PRODUCTS,090400RECREATIONAL AND CULTURAL SERVICES,090401RECREATIONAL AND SPORTING SERVICES,090402CULTURAL SERVICES,090500NEWSPAPERS BOOKS AND STATIONERY,090501BOOKS,090502NEWSPAPERS AND PERIODICALS,090503MISC. PRINTED MATTER STATIONERY & DRAWING MATERIAL,090600PACKAGE HOLIDAYS,100000EDUCATION,110100CATERING,110101RESTAURANTS & CAFES,110102CANTEENS,110200ACCOMMODATION SERVICES,120100PERSONAL CARE,120101HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,120102APPLIANCES ARTICLES & PRODUCTS FOR PERSONAL CARE,120300PERSONAL EFFECTS N.E.C.,120301JEWELLERY CLOCKS AND WATCHES,120302OTHER PERSONAL EFFECTS,120400SOCIAL PROTECTION SERVICES,120500INSURANCE,120502INSURANCE CONNECTED WITH THE DWELLING - CONTENTS INSURANCE,120503INSURANCE CONNECTED WITH HEALTH,120504INSURANCE CONNECTED WITH TRANSPORT,120600BANKING SERVICES N.E.C,120700OTHER SERVICES N.E.C
Jan 12,-0.033,-0.110,0.035,-0.050,-0.027,-0.001,-0.279,-0.043,0.025,0.000,-0.159,0.018,-0.011,0.004,0.010,-0.003,0.003,-0.006,0.009,-0.016,-0.015,0.001,-0.022,0.000,-0.022,-0.048,-0.032,-0.008,-0.008,-0.062,0.024,0.013,0.011,-0.001,0.012,0.007,-0.026,-0.016,-0.011,0.000,0.000,0.000,-0.031,-0.015,-0.019,0.005,-0.001,-0.017,-0.002,-0.015,0.003,0.002,0.003,-0.001,0.000,0.008,-0.024,-0.023,-0.002,-0.004,-0.004,0.000,-0.002,0.000,-0.001,0.006,-0.054,-0.058,0.002,0.003,-0.263,-0.019,-0.165,-0.064,-0.015,0.038,-0.011,0.007,0.041,0.000,0.000,-0.043,0.075,0.003,0.009,0.029,0.037,-0.002,-0.015,-0.015,0.014,0.024,0.000,-0.001,-0.009,-0.036,-0.003,-0.034,-0.007,0.001,-0.002,-0.004,-0.007,0.000,-0.125,-0.120,-0.006,-0.033,-0.018,-0.006,-0.012,-0.003,-0.003,0.001,-0.003,-0.013,-0.003,0.002,-0.012,0.079,-0.024 
Feb 12,0.011,0.079,-0.032,-0.091,0.012,0.009,-0.037,-0.019,-0.059,0.000,-0.018,0.006,-0.013,-0.024,-0.029,-0.001,0.009,0.004,-0.032,0.051,0.012,-0.001,0.024,-0.002,0.026,0.079,0.042,0.021,0.016,0.000,-0.024,-0.024,-0.001,0.000,-0.007,-0.003,-0.004,-0.003,0.000,0.000,0.000,0.000,-0.084,-0.056,-0.042,0.015,-0.002,-0.003,-0.013,0.009,-0.001,0.007,0.007,0.000,-0.004,0.005,0.010,0.008,0.002,0.008,0.012,-0.004,0.001,0.000,0.000,-0.001,-0.011,0.001,-0.003,-0.010,-0.002,0.002,0.003,-0.003,-0.004,-0.024,0.010,-0.022,-0.033,0.021,0.000,-0.018,-0.003,-0.001,-0.016,0.012,0.001,0.000,0.002,0.002,-0.036,-0.007,-0.006,-0.007,-0.016,-0.004,-0.001,-0.002,-0.016,-0.014,-0.002,-0.001,-0.003,0.000,-0.031,-0.018,-0.012,0.013,0.006,-0.002,0.008,0.015,0.003,0.011,0.003,-0.013,0.000,0.000,-0.013,-0.005,0.000 
Mar 12,0.100,-0.013,0.077,-0.079,-0.025,-0.017,-0.062,0.019,0.048,-0.001,-0.001,-0.021,0.124,0.048,0.037,-0.002,0.006,-0.009,0.057,0.004,-0.025,0.007,-0.024,-0.017,-0.007,-0.012,0.005,-0.025,0.009,-0.001,0.067,0.070,-0.002,0.000,0.009,-0.003,-0.003,-0.003,0.000,0.000,0.000,0.000,-0.073,-0.036,-0.025,-0.012,0.001,-0.007,0.010,-0.016,0.006,0.008,0.008,0.000,0.001,-0.027,-0.006,-0.006,0.000,-0.017,-0.016,-0.001,-0.001,0.000,0.000,0.000,-0.031,-0.002,-0.025,-0.004,-0.012,0.001,-0.010,0.001,-0.005,-0.018,-0.012,-0.003,0.016,-0.017,0.000,0.019,0.024,0.000,-0.016,0.017,0.022,0.000,0.001,0.001,0.038,0.026,-0.004,0.004,0.012,-0.002,0.000,-0.002,-0.013,-0.006,-0.011,0.004,0.001,-0.001,-0.002,0.000,-0.003,0.001,-0.005,-0.001,-0.004,0.002,0.003,-0.002,0.001,-0.016,-0.004,0.000,-0.012,-0.004,0.002 
Apr 12,-0.034,-0.094,-0.069,0.017,-0.031,0.007,-0.254,-0.017,0.019,0.000,0.041,0.000,-0.039,-0.033,-0.023,0.010,-0.001,-0.001,0.024,-0.036,0.024,-0.003,0.005,-0.001,0.006,-0.079,-0.043,-0.013,-0.024,-0.015,-0.072,-0.071,0.000,-0.001,0.003,0.036,0.004,0.004,0.000,0.014,0.004,0.011,-0.037,-0.002,-0.023,-0.012,0.000,0.005,-0.016,0.021,-0.017,-0.007,-0.007,0.000,-0.009,-0.010,0.006,0.007,0.000,0.006,0.009,-0.003,0.000,0.000,0.000,0.002,-0.034,-0.014,-0.022,0.002,0.045,0.002,0.028,0.005,0.012,-0.266,-0.003,0.005,-0.208,-0.061,-0.021,0.003,-0.033,0.007,-0.020,-0.010,-0.009,0.001,0.000,0.000,0.044,0.028,0.003,0.014,-0.001,-0.015,0.001,-0.016,-0.004,-0.001,-0.001,-0.002,0.025,0.000,-0.001,0.001,-0.001,0.042,0.026,0.000,0.026,-0.009,-0.008,0.000,0.001,-0.006,0.005,-0.001,-0.010,-0.014,0.001 
May 12,-0.113,-0.032,-0.032,-0.007,0.016,0.003,-0.008,-0.001,-0.035,-0.001,-0.007,-0.055,-0.086,0.002,-0.003,-0.009,-0.012,-0.008,-0.050,-0.015,0.008,-0.001,-0.026,-0.007,-0.019,-0.027,0.006,-0.014,-0.019,-0.005,-0.026,-0.027,0.002,-0.001,-0.006,0.002,-0.004,-0.005,0.001,0.000,-0.001,0.000,-0.005,-0.001,-0.001,-0.001,-0.001,0.017,0.027,-0.010,-0.001,-0.007,-0.007,0.000,-0.006,-0.007,0.017,0.015,0.003,0.005,0.000,0.004,0.000,0.000,0.000,-0.002,0.011,0.010,0.000,0.001,-0.206,-0.001,-0.207,0.002,0.000,0.188,-0.003,-0.009,0.144,0.055,0.024,-0.025,0.014,-0.010,-0.017,0.005,0.036,0.000,-0.002,-0.002,-0.042,-0.034,-0.005,0.002,-0.005,0.005,-0.001,0.006,-0.013,-0.005,-0.004,-0.005,0.004,-0.001,-0.016,-0.015,-0.001,0.008,-0.028,0.000,-0.028,-0.006,-0.009,0.002,-0.001,-0.014,-0.005,0.000,-0.009,-0.003,-0.002 
Jun 12,-0.117,0.002,-0.170,-0.022,-0.024,0.010,-0.125,0.020,0.146,0.000,-0.016,-0.027,-0.134,-0.030,-0.046,-0.018,-0.021,-0.007,0.003,0.020,-0.024,-0.008,0.016,0.010,0.006,-0.001,0.003,0.004,-0.009,0.003,-0.178,-0.175,-0.003,0.001,0.008,-0.003,0.009,0.008,0.001,0.000,0.001,0.000,-0.028,0.000,0.000,-0.028,-0.001,0.015,-0.004,0.019,-0.014,-0.018,-0.017,0.000,0.010,-0.011,-0.004,-0.005,0.000,0.009,0.010,0.001,0.000,0.000,0.000,0.001,0.032,0.014,0.015,0.004,-0.126,-0.002,-0.119,-0.001,-0.004,-0.032,-0.001,-0.002,-0.022,-0.006,0.000,0.020,0.088,0.010,0.044,0.013,0.021,0.000,0.000,0.000,0.027,0.033,0.002,0.000,-0.008,-0.002,0.000,-0.002,0.015,0.016,0.000,-0.001,0.018,0.000,0.004,0.004,0.000,-0.019,-0.024,-0.002,-0.023,0.000,0.013,-0.012,0.001,-0.011,-0.001,0.000,-0.011,0.013,-0.005 
Jul 12,-0.016,0.006,0.048,0.009,0.001,-0.015,0.079,-0.012,0.020,0.000,0.006,-0.017,-0.027,-0.036,-0.010,0.006,-0.022,0.003,0.028,-0.017,0.021,0.000,0.011,-0.010,0.021,-0.007,-0.035,0.011,0.017,0.014,0.038,0.023,0.014,0.000,0.010,0.014,-0.019,-0.017,-0.001,0.000,0.000,0.000,0.013,0.000,0.001,0.013,0.000,0.013,0.019,-0.006,0.000,0.014,0.013,-0.001,-0.004,-0.006,-0.016,-0.018,0.001,-0.013,-0.013,-0.001,0.000,0.000,0.000,-0.003,0.030,0.000,0.033,-0.004,-0.018,0.000,-0.014,-0.005,0.000,0.066,-0.012,-0.002,0.098,-0.018,0.000,-0.011,-0.020,-0.003,0.004,0.005,-0.026,-0.001,-0.001,-0.001,0.021,0.021,0.000,0.003,-0.003,0.011,0.001,0.010,0.004,-0.016,0.022,0.000,0.006,0.000,0.001,0.003,-0.002,0.006,-0.003,0.001,-0.003,-0.005,-0.005,0.000,0.000,0.000,0.006,-0.002,-0.002,-0.030,0.021 
Aug 12,0.007,0.033,-0.043,-0.052,-0.075,-0.011,0.061,-0.001,0.028,0.000,-0.018,-0.009,0.034,0.041,-0.016,0.008,-0.010,-0.006,0.018,0.009,-0.011,0.001,-0.027,-0.009,-0.019,0.034,0.044,-0.011,0.002,-0.002,-0.022,-0.018,-0.004,0.000,-0.020,-0.004,-0.015,-0.014,-0.002,0.000,-0.001,0.000,-0.032,-0.020,-0.040,0.027,0.000,-0.046,-0.019,-0.027,-0.002,-0.003,-0.003,0.000,0.015,-0.014,-0.025,-0.026,0.001,-0.011,-0.010,-0.001,0.001,0.000,0.000,0.000,-0.001,-0.003,-0.001,0.002,0.075,0.000,0.088,-0.012,-0.001,-0.013,0.021,-0.003,-0.021,-0.009,0.000,-0.002,-0.014,0.005,-0.016,0.014,-0.017,0.000,0.001,0.001,0.026,0.040,-0.004,-0.002,-0.007,-0.002,0.001,-0.003,0.015,0.010,0.004,0.000,0.001,0.000,-0.023,-0.024,0.000,0.004,0.005,0.000,0.005,0.004,0.000,0.004,-0.001,-0.013,-0.001,0.000,-0.012,-0.003,-0.002 
Sep 12,-0.026,0.011,0.031,-0.434,-0.039,-0.004,0.123,-0.025,0.070,-0.032,-0.016,0.067,-0.022,-0.006,0.014,-0.008,0.015,-0.004,-0.034,0.016,-0.015,-0.001,-0.004,-0.004,0.001,-0.002,-0.009,0.008,0.000,0.013,0.025,0.031,-0.005,-0.001,0.005,-0.008,0.000,-0.001,0.001,0.000,0.000,-0.001,-0.426,-0.143,-0.285,0.002,0.000,0.004,-0.021,0.025,-0.011,-0.001,-0.001,0.000,-0.014,-0.019,0.002,0.001,0.002,-0.003,0.000,-0.003,-0.001,0.000,0.000,-0.001,-0.011,-0.001,0.000,-0.009,0.139,0.002,0.134,0.002,0.002,-0.004,-0.004,-0.001,-0.034,0.033,-0.001,-0.024,0.074,0.007,0.045,0.018,0.004,0.000,-0.001,-0.001,-0.032,-0.032,0.002,-0.001,-0.002,0.009,0.000,0.009,0.003,0.008,-0.006,0.001,0.017,-0.032,-0.012,-0.013,0.003,-0.005,0.028,0.002,0.026,-0.001,0.001,-0.002,0.001,0.005,0.003,-0.001,0.002,0.035,-0.001 
Oct 12,0.156,0.017,0.028,-0.060,0.002,0.002,0.083,0.009,-0.053,0.318,-0.004,-0.035,0.142,0.004,0.021,0.003,0.014,0.006,0.031,0.040,0.025,-0.002,0.014,0.003,0.010,0.015,0.003,0.014,-0.003,0.003,0.014,0.017,-0.003,0.000,0.013,0.021,-0.006,-0.006,0.000,-0.001,0.000,0.000,-0.074,-0.038,-0.035,0.004,-0.005,0.006,0.009,-0.003,0.003,-0.024,-0.021,-0.002,0.007,0.007,0.003,0.006,-0.004,-0.001,0.002,-0.003,0.000,0.001,0.000,0.004,0.056,-0.002,0.048,0.009,-0.009,0.000,-0.018,0.000,0.009,0.036,0.000,-0.002,0.032,0.008,0.000,0.009,-0.018,-0.013,0.014,0.003,-0.022,0.000,-0.003,-0.003,-0.037,-0.051,0.004,0.010,-0.001,-0.002,-0.002,0.000,0.002,0.006,-0.009,0.004,0.007,0.318,-0.010,-0.013,0.002,0.007,-0.020,-0.003,-0.017,0.000,-0.007,0.006,0.001,-0.010,-0.001,0.003,-0.012,-0.001,-0.005 
